Date,Open,High,Low,Close,Volume,Adj Close
2010-03-26,1.32,1.32,1.28,1.28,204400,1.22
2010-03-29,1.32,1.32,1.26,1.28,257600,1.22
2010-03-30,1.29,1.3,1.27,1.27,123200,1.21
2010-03-31,1.28,1.28,1.19,1.23,491900,1.17
2010-04-01,1.23,1.25,1.06,1.14,980300,1.09
2010-04-05,1.16,1.19,1.07,1.1,212500,1.05
2010-04-06,1.1,1.26,1.09,1.24,557900,1.18
2010-04-07,1.27,1.27,1.19,1.23,397900,1.17
2010-04-08,1.22,1.27,1.22,1.24,251300,1.18
2010-04-09,1.25,1.26,1.21,1.25,196500,1.19
2010-04-12,1.25,1.31,1.25,1.3,759300,1.24
2010-04-13,1.32,1.32,1.27,1.27,266300,1.21
2010-04-14,1.3,1.3,1.23,1.24,165200,1.18
2010-04-15,1.22,1.24,1.16,1.17,399300,1.12
2010-04-16,1.24,1.24,1.14,1.15,144100,1.1
2010-04-19,1.17,1.17,1.1,1.13,189500,1.08
2010-04-20,1.15,1.19,1.15,1.19,41200,1.14
2010-04-21,1.19,1.19,1.12,1.19,129600,1.14
2010-04-22,1.15,1.16,1.11,1.14,292700,1.09
2010-04-23,1.14,1.18,1.13,1.14,201300,1.09
2010-04-26,1.17,1.17,1.14,1.14,108100,1.09
2010-04-27,1.14,1.18,1.13,1.13,111400,1.08
2010-04-28,1.13,1.13,1.11,1.13,143600,1.08
2010-04-29,1.13,1.19,1.13,1.16,235000,1.11
2010-04-30,1.14,1.14,1.1,1.11,144800,1.06
2010-05-03,1.14,1.14,1.08,1.1,74400,1.05
2010-05-04,1.1,1.13,0.89,0.99,547800,0.95
2010-05-05,0.97,0.97,0.9,0.97,365500,0.93
2010-05-06,0.97,0.97,0.71,0.79,1050300,0.75
2010-05-07,0.86,0.9,0.8,0.82,336700,0.78
2010-05-10,0.9,0.9,0.82,0.84,218600,0.8
2010-05-11,0.85,0.89,0.8,0.81,253700,0.77
2010-05-12,0.83,0.83,0.78,0.79,385200,0.75
2010-05-13,0.89,0.89,0.8,0.81,494300,0.77
2010-05-14,0.86,0.9,0.78,0.79,280500,0.75
2010-05-17,0.79,0.79,0.63,0.7,1143200,0.67
2010-05-18,0.74,0.74,0.64,0.66,605400,0.63
2010-05-19,0.7,0.7,0.6,0.65,404100,0.62
2010-05-20,0.63,0.63,0.5,0.53,2135000,0.51
2010-05-21,0.6,0.7,0.58,0.6,305600,0.57
2010-05-24,0.6,0.75,0.59,0.6,217600,0.57
2010-05-25,0.53,0.55,0.44,0.55,661900,0.53
2010-05-26,0.51,0.62,0.44,0.53,591000,0.51
2010-05-27,0.53,0.57,0.51,0.53,264600,0.51
2010-05-28,0.51,0.6,0.51,0.6,75100,0.57
2010-06-01,0.6,0.6,0.53,0.54,176300,0.52
2010-06-02,0.64,0.64,0.52,0.53,182100,0.51
2010-06-03,0.52,0.54,0.52,0.54,42100,0.52
2010-06-04,0.52,0.54,0.5,0.5,146200,0.48
2010-06-07,0.54,0.54,0.49,0.49,58700,0.47
2010-06-08,0.58,0.58,0.5,0.57,48700,0.54
2010-06-09,0.57,0.57,0.51,0.51,46000,0.49
2010-06-10,0.51,0.52,0.5,0.52,158400,0.5
2010-06-11,0.51,0.51,0.46,0.5,136700,0.48
