Date,Open,High,Low,Close,Volume,Adj Close
1999-05-24,1.88,1.88,1.88,1.88,100,1.88
1999-05-25,1.88,1.88,1.88,1.88,0,1.88
1999-05-26,1.88,1.88,1.88,1.88,0,1.88
1999-05-27,1.88,1.88,1.88,1.88,0,1.88
1999-05-28,1.88,1.88,1.88,1.88,0,1.88
1999-06-01,2.12,2.12,1.75,1.75,1900,1.75
1999-06-02,1.75,1.75,1.75,1.75,0,1.75
1999-06-03,1.31,1.31,1.31,1.31,1900,1.31
1999-06-04,1.31,1.31,1.31,1.31,0,1.31
1999-06-07,1.31,1.31,1.31,1.31,0,1.31
1999-06-08,1.31,1.31,1.31,1.31,0,1.31
1999-06-09,1.31,1.31,1.31,1.31,0,1.31
1999-06-10,1.31,1.31,1.31,1.31,200,1.31
1999-06-11,1.31,1.31,1.31,1.31,0,1.31
1999-06-14,1.31,1.31,1.31,1.31,0,1.31
1999-06-15,1.5,1.5,1.5,1.5,4000,1.5
1999-06-16,1.5,1.5,1.5,1.5,0,1.5
1999-06-17,1.5,1.5,1.5,1.5,0,1.5
1999-06-18,1.5,1.5,1.5,1.5,0,1.5
1999-06-21,1.5,1.5,1.5,1.5,0,1.5
1999-06-22,1.5,1.5,1.5,1.5,0,1.5
1999-06-23,1.5,1.5,1.5,1.5,0,1.5
1999-06-24,1.31,1.62,1.31,1.5,3500,1.5
1999-06-25,1.5,1.5,1.5,1.5,0,1.5
1999-06-28,1.38,1.38,1.38,1.38,1100,1.38
1999-06-29,1.75,2.0,1.75,1.75,1800,1.75
1999-06-30,1.75,1.75,1.75,1.75,0,1.75
1999-07-01,1.75,1.75,1.75,1.75,0,1.75
1999-07-02,1.75,1.75,1.75,1.75,0,1.75
1999-07-06,1.75,1.75,1.75,1.75,0,1.75
1999-07-07,1.75,1.75,1.75,1.75,0,1.75
1999-07-08,1.88,1.88,1.88,1.88,400,1.88
1999-07-09,1.31,1.88,1.31,1.31,1900,1.31
1999-07-12,1.75,1.75,1.5,1.5,1700,1.5
1999-07-13,1.88,1.88,1.5,1.5,400,1.5
1999-07-14,1.5,1.5,1.5,1.5,0,1.5
1999-07-15,1.5,1.5,1.5,1.5,0,1.5
1999-07-16,1.5,1.5,1.5,1.5,0,1.5
1999-07-19,1.5,1.5,1.5,1.5,0,1.5
1999-07-20,1.31,1.31,1.31,1.31,700,1.31
1999-07-21,1.31,1.31,1.31,1.31,0,1.31
1999-07-22,1.88,1.88,1.31,1.31,400,1.31
1999-07-23,1.88,1.88,1.75,1.75,8500,1.75
1999-07-26,1.75,1.75,1.75,1.75,0,1.75
1999-07-27,1.75,1.75,1.75,1.75,0,1.75
1999-07-28,1.75,1.75,1.75,1.75,0,1.75
1999-07-29,1.75,1.75,1.75,1.75,0,1.75
1999-07-30,1.88,1.88,1.88,1.88,2000,1.88
