Date,Open,High,Low,Close,Volume,Adj Close
2011-05-02,0.25,7.9,0.25,7.9,7700,30.74
2011-05-03,7.0,8.0,2.0,2.75,4700,10.7
2011-05-04,2.75,3.0,2.75,2.85,800,11.09
2011-05-05,2.75,2.75,2.75,2.75,100,10.7
2011-05-06,2.75,2.75,2.75,2.75,100,10.7
2011-05-09,2.5,2.5,1.25,1.25,500,4.86
2011-05-10,1.5,2.0,1.5,2.0,100,7.78
2011-05-11,2.0,2.0,2.0,2.0,0,7.78
2011-05-12,2.43,2.5,1.7,2.01,600,7.82
2011-05-13,2.0,2.0,2.0,2.0,100,7.78
2011-05-16,2.0,2.0,1.99,1.99,300,7.74
2011-05-17,2.0,2.0,1.36,1.36,400,5.29
2011-05-18,1.5,1.95,1.5,1.95,500,7.59
2011-05-19,2.0,2.0,2.0,2.0,0,7.78
2011-05-20,2.0,2.0,2.0,2.0,0,7.78
2011-05-23,1.65,1.85,1.65,1.85,1400,7.2
2011-05-24,1.85,1.95,1.85,1.95,100,7.59
2011-05-25,1.95,1.95,1.95,1.95,0,7.59
2011-05-26,1.95,1.95,1.95,1.95,0,7.59
2011-05-27,1.95,1.95,1.95,1.95,100,7.59
2011-05-31,1.65,2.0,1.65,2.0,500,7.78
2011-06-01,1.9,1.9,1.9,1.9,800,7.39
2011-06-02,1.65,1.65,1.65,1.65,100,6.42
2011-06-03,1.65,1.65,1.65,1.65,0,6.42
2011-06-06,1.65,1.65,1.65,1.65,0,6.42
2011-06-07,1.52,1.8,1.52,1.7,1600,6.61
2011-06-08,1.85,2.0,1.85,1.9,700,7.39
2011-06-09,1.9,1.9,1.9,1.9,0,7.39
2011-06-10,1.9,1.9,1.9,1.9,0,7.39
2011-06-13,1.9,1.9,1.9,1.9,0,7.39
2011-06-14,1.9,1.9,1.9,1.9,0,7.39
2011-06-15,1.9,1.9,1.9,1.9,0,7.39
2011-06-16,1.9,1.9,1.9,1.9,0,7.39
2011-06-17,1.75,1.75,1.5,1.5,300,5.84
2011-06-20,1.35,1.35,1.35,1.35,0,5.25
2011-06-21,1.4,1.4,1.35,1.35,200,5.25
2011-06-22,1.65,1.65,1.65,1.65,0,6.42
2011-06-23,1.35,1.35,1.35,1.35,0,5.25
2011-06-24,1.35,1.35,1.35,1.35,100,5.25
2011-06-27,1.35,1.35,1.35,1.35,0,5.25
2011-06-28,1.35,1.35,1.35,1.35,0,5.25
2011-06-29,1.35,1.35,1.35,1.35,0,5.25
2011-06-30,1.35,1.35,1.35,1.35,0,5.25
2011-07-01,1.35,1.35,1.35,1.35,0,5.25
2011-07-05,1.2,1.2,1.2,1.2,0,4.67
2011-07-06,1.2,1.2,1.2,1.2,0,4.67
2011-07-07,1.2,1.2,1.2,1.2,100,4.67
2011-07-08,1.2,1.2,1.2,1.2,0,4.67
2011-07-11,1.35,1.35,1.35,1.35,200,5.25
2011-07-12,1.34,1.35,1.34,1.35,200,5.25
2011-07-13,1.35,1.51,1.35,1.51,700,5.87
2011-07-14,1.51,1.51,1.51,1.51,0,5.87
2011-07-15,1.6,1.6,1.6,1.6,100,6.23
2011-07-18,1.55,1.55,1.55,1.55,100,6.03
2011-07-19,1.55,1.55,1.55,1.55,0,6.03
2011-07-20,1.55,1.55,1.55,1.55,0,6.03
2011-07-21,1.65,1.65,1.65,1.65,200,6.42
2011-07-22,1.65,1.65,1.65,1.65,0,6.42
2011-07-25,1.65,1.65,1.65,1.65,0,6.42
2011-07-26,1.65,1.65,1.65,1.65,0,6.42
2011-07-27,1.65,1.65,1.65,1.65,0,6.42
2011-07-28,1.35,1.35,1.35,1.35,100,5.25
2011-07-29,1.35,1.35,1.35,1.35,0,5.25
2011-08-01,1.35,1.35,1.35,1.35,100,5.25
2011-08-02,1.9,1.9,1.9,1.9,100,7.39
2011-08-03,1.9,1.95,1.9,1.95,1100,7.59
2011-08-04,1.95,1.95,1.95,1.95,0,7.59
2011-08-05,1.95,1.95,1.95,1.95,0,7.59
2011-08-08,1.95,1.95,1.9,1.9,100,7.39
2011-08-09,1.75,1.75,1.01,1.01,800,3.93
2011-08-10,1.8,1.8,1.1,1.8,100,7.0
2011-08-11,1.8,1.8,1.8,1.8,0,7.0
2011-08-12,1.8,1.8,1.8,1.8,0,7.0
2011-08-15,1.6,1.6,1.6,1.6,0,6.23
2011-08-16,1.6,1.6,1.6,1.6,0,6.23
2011-08-17,1.6,1.6,1.6,1.6,0,6.23
2011-08-18,1.6,1.6,1.6,1.6,0,6.23
2011-08-19,1.6,1.6,1.6,1.6,0,6.23
2011-08-22,1.6,1.6,1.6,1.6,0,6.23
2011-08-23,1.6,1.6,1.6,1.6,0,6.23
2011-08-24,1.6,1.6,1.6,1.6,0,6.23
2011-08-25,1.6,1.6,1.6,1.6,0,6.23
2011-08-26,1.21,1.21,1.2,1.2,500,4.67
2011-08-29,1.2,1.2,1.2,1.2,0,4.67
2011-08-30,1.01,1.01,1.01,1.01,0,3.93
2011-08-31,1.01,1.01,1.01,1.01,0,3.93
2011-09-01,1.01,1.6,1.01,1.6,100,6.23
2011-09-02,1.01,1.6,1.01,1.6,100,6.23
2011-09-06,1.6,1.6,1.6,1.6,0,6.23
2011-09-07,1.6,1.6,1.6,1.6,0,6.23
2011-09-08,1.6,1.6,1.6,1.6,0,6.23
