Date,Open,High,Low,Close,Volume,Adj Close
2000-07-21,21.0,25.5,20.0,25.38,2011500,126.88
2000-07-24,23.19,23.94,21.44,22.13,438400,110.63
2000-07-25,22.44,23.94,22.13,23.25,162600,116.25
2000-07-26,23.25,24.0,21.38,22.06,127100,110.31
2000-07-27,21.0,22.63,20.75,21.75,129200,108.75
2000-07-28,21.94,22.13,18.25,19.5,162500,97.5
2000-07-31,20.0,21.5,18.06,18.06,71500,90.31
2000-08-01,18.31,18.5,16.0,17.5,210600,87.5
2000-08-02,17.59,18.0,16.44,16.56,119900,82.81
2000-08-03,16.38,18.5,16.25,18.0,76400,90.0
2000-08-04,17.13,18.5,17.0,17.5,57900,87.5
2000-08-07,17.31,19.5,16.13,18.75,54300,93.75
2000-08-08,18.75,20.63,18.13,19.5,60500,97.5
2000-08-09,19.63,20.13,19.5,19.63,27900,98.13
2000-08-10,19.25,20.25,18.88,20.13,26000,100.63
2000-08-11,19.75,19.88,18.88,19.0,12600,95.0
2000-08-14,18.94,19.13,18.81,19.0,18200,95.0
2000-08-15,18.88,20.31,18.88,19.56,36600,97.81
2000-08-16,19.38,22.25,19.0,21.75,71400,108.75
2000-08-17,22.38,24.06,21.75,23.5,56300,117.5
2000-08-18,23.56,23.88,20.75,21.38,55800,106.88
2000-08-21,21.78,22.0,20.19,20.88,17300,104.38
2000-08-22,20.88,21.31,19.13,19.31,15900,96.56
2000-08-23,20.09,20.13,19.13,19.63,23000,98.13
2000-08-24,19.38,19.94,18.63,18.75,77300,93.75
2000-08-25,19.09,19.19,18.13,19.0,59300,95.0
2000-08-28,18.78,20.81,18.25,18.75,52800,93.75
2000-08-29,19.0,19.88,19.0,19.63,40500,98.13
2000-08-30,20.0,20.63,19.25,19.88,46500,99.38
2000-08-31,20.38,25.5,20.13,24.0,186600,120.0
2000-09-01,23.41,25.63,23.41,25.19,66500,125.94
2000-09-05,25.0,25.88,24.5,25.25,59000,126.25
2000-09-06,26.5,28.25,26.0,27.13,42500,135.63
2000-09-07,27.0,28.13,24.56,28.06,35100,140.31
2000-09-08,28.5,30.13,26.0,26.5,49800,132.5
2000-09-11,26.0,27.0,23.81,24.25,29900,121.25
2000-09-12,23.5,23.5,20.06,21.38,17000,106.88
2000-09-13,20.88,23.75,20.5,21.5,23200,107.5
2000-09-14,22.38,24.0,21.5,23.5,40600,117.5
