Date,Open,High,Low,Close,Volume,Adj Close
1996-01-02,0.06,0.06,0.06,0.06,0,18.73
1996-01-03,0.06,0.06,0.06,0.06,0,18.73
1996-01-04,0.06,0.06,0.06,0.06,0,18.73
1996-01-05,0.06,0.06,0.06,0.06,0,18.73
1996-01-08,0.06,0.06,0.06,0.06,0,18.73
1996-01-09,0.06,0.06,0.06,0.06,0,18.73
1996-01-10,0.06,0.06,0.06,0.06,0,18.73
1996-01-11,0.06,0.08,0.06,0.08,0,23.41
1996-01-12,0.06,0.06,0.06,0.06,0,18.73
1996-01-15,0.06,0.06,0.06,0.06,0,18.73
1996-01-16,0.06,0.06,0.06,0.06,0,18.73
1996-01-17,0.11,0.11,0.06,0.06,0,18.73
1996-01-18,0.06,0.06,0.06,0.06,0,18.73
1996-01-19,0.06,0.06,0.06,0.06,0,18.73
1996-01-22,0.06,0.06,0.06,0.06,0,18.73
1996-01-23,0.11,0.11,0.11,0.11,0,32.78
1996-01-24,0.11,0.11,0.11,0.11,0,32.78
1996-01-25,0.11,0.11,0.11,0.11,100,32.78
1996-01-26,0.11,0.11,0.11,0.11,0,32.78
1996-01-29,0.11,0.11,0.11,0.11,0,32.78
1996-01-30,0.09,0.09,0.09,0.09,0,28.1
1996-01-31,0.09,0.09,0.09,0.09,0,28.1
1996-02-01,0.12,0.12,0.12,0.12,0,37.46
1996-02-02,0.09,0.09,0.09,0.09,0,28.1
1996-02-05,0.08,0.08,0.08,0.08,0,23.41
1996-02-06,0.08,0.08,0.08,0.08,0,23.41
1996-02-07,0.08,0.08,0.08,0.08,0,23.41
1996-02-08,0.12,0.12,0.08,0.08,0,23.41
1996-02-09,0.08,0.08,0.08,0.08,0,23.41
1996-02-12,0.08,0.08,0.08,0.08,0,23.41
1996-02-13,0.08,0.08,0.08,0.08,0,23.41
1996-02-14,0.08,0.08,0.08,0.08,0,23.41
1996-02-15,0.08,0.08,0.08,0.08,0,23.41
1996-02-16,0.08,0.08,0.08,0.08,0,23.41
1996-02-20,0.08,0.08,0.08,0.08,0,23.41
1996-02-21,0.08,0.08,0.08,0.08,0,23.41
1996-02-22,0.08,0.08,0.08,0.08,0,23.41
1996-02-23,0.08,0.08,0.08,0.08,0,23.41
1996-02-26,0.08,0.08,0.08,0.08,0,23.41
1996-02-27,0.08,0.09,0.08,0.08,0,23.41
1996-02-28,0.08,0.08,0.08,0.08,0,23.41
1996-02-29,0.08,0.08,0.08,0.08,0,23.41
1996-03-01,0.08,0.08,0.08,0.08,0,23.41
1996-03-04,0.08,0.08,0.08,0.08,0,23.41
1996-03-05,0.08,0.08,0.08,0.08,0,23.41
1996-03-06,0.08,0.08,0.08,0.08,0,23.41
1996-03-07,0.08,0.08,0.08,0.08,0,23.41
1996-03-08,0.08,0.08,0.08,0.08,0,23.41
1996-03-11,0.08,0.11,0.08,0.11,0,32.78
1996-03-12,0.08,0.08,0.08,0.08,0,23.41
1996-03-13,0.08,0.09,0.08,0.09,0,28.1
1996-03-14,0.12,0.19,0.12,0.14,300,42.15
1996-03-15,0.2,0.25,0.2,0.25,200,74.92
1996-03-18,0.27,0.27,0.27,0.27,0,79.61
1996-03-19,0.19,0.19,0.19,0.19,0,56.19
1996-03-20,0.19,0.19,0.19,0.19,0,56.19
1996-03-21,0.19,0.2,0.19,0.19,300,56.19
1996-03-22,0.19,0.25,0.19,0.25,0,74.92
1996-03-25,0.19,0.19,0.19,0.19,0,56.19
1996-03-26,0.19,0.19,0.19,0.19,0,56.19
1996-03-27,0.19,0.2,0.19,0.2,100,60.88
1996-03-28,0.19,0.22,0.19,0.2,100,60.88
1996-03-29,0.19,0.19,0.19,0.19,0,56.19
