Date,Open,High,Low,Close,Volume,Adj Close
2005-12-14,20.35,21.2,19.0,21.2,17308300,21.2
2005-12-15,21.3,21.3,20.34,20.6,3817400,20.6
2005-12-16,21.1,21.1,20.25,20.95,2937000,20.95
2005-12-19,21.9,23.45,20.95,22.5,2811100,22.5
2005-12-20,22.25,22.99,22.2,22.4,1101100,22.4
2005-12-21,22.25,22.25,21.15,21.33,1140600,21.33
2005-12-22,20.83,21.78,20.83,21.75,662800,21.75
2005-12-23,21.5,22.14,21.4,22.08,342300,22.08
2005-12-27,22.25,23.8,22.25,23.25,978400,23.25
2005-12-28,23.03,24.88,22.82,24.65,1396800,24.65
2005-12-29,24.5,28.0,23.9,28.0,2639300,28.0
2005-12-30,26.09,28.3,26.09,27.25,1173700,27.25
2006-01-03,27.3,27.56,26.65,26.94,862900,26.94
2006-01-04,26.85,26.86,25.5,25.93,1009900,25.93
2006-01-05,26.06,28.2,26.06,27.1,1830400,27.1
2006-01-06,27.1,28.0,26.42,26.68,626700,26.68
2006-01-09,26.7,29.88,26.68,29.75,1441400,29.75
2006-01-10,28.85,30.42,28.81,29.3,1313200,29.3
2006-01-11,29.35,33.58,29.13,33.0,2832800,33.0
2006-01-12,33.5,36.2,33.5,34.02,3413700,34.02
2006-01-13,34.9,36.47,34.41,35.21,2199700,35.21
2006-01-17,35.65,36.75,34.8,35.42,1308300,35.42
2006-01-18,35.42,39.05,34.48,38.94,2045100,38.94
2006-01-19,39.5,39.5,37.1,37.89,2746500,37.89
2006-01-20,38.5,40.69,38.3,40.13,1637300,40.13
2006-01-23,40.4,45.95,39.03,43.4,3516600,43.4
2006-01-24,44.0,45.5,39.99,40.0,2654800,40.0
2006-01-25,40.63,41.0,35.7,36.2,3934300,36.2
2006-01-26,36.85,39.6,36.8,38.5,2247100,38.5
2006-01-27,39.15,40.15,35.78,37.3,1634300,37.3
2006-01-30,37.95,40.27,36.77,40.27,1920400,40.27
2006-01-31,40.44,43.4,39.51,42.44,2391400,42.44
2006-02-01,42.5,44.25,42.03,42.25,2267900,42.25
2006-02-02,42.85,43.75,42.24,42.81,1255800,42.81
2006-02-03,42.81,42.87,40.66,41.35,1078000,41.35
2006-02-06,42.0,42.8,41.65,42.33,773100,42.33
2006-02-07,42.34,42.35,37.5,38.96,2191700,38.96
2006-02-08,39.8,39.85,37.4,38.55,1107800,38.55
2006-02-09,38.75,38.85,37.51,37.71,1072300,37.71
2006-02-10,37.6,38.0,36.6,37.48,1146600,37.48
2006-02-13,37.5,39.35,37.5,38.4,1422700,38.4
2006-02-14,34.25,35.71,30.2,34.4,8740000,34.4
2006-02-15,34.4,36.8,34.4,35.24,1280300,35.24
2006-02-16,36.0,37.07,35.4,36.66,1165400,36.66
2006-02-17,37.1,38.57,36.5,37.7,1089000,37.7
2006-02-21,39.15,39.7,37.82,37.99,1267300,37.99
2006-02-22,37.99,37.99,36.6,36.78,1183000,36.78
2006-02-23,36.53,37.41,35.9,36.43,1006800,36.43
2006-02-24,36.65,37.4,36.11,36.6,604800,36.6
2006-02-27,36.85,38.5,36.85,38.11,784200,38.11
2006-02-28,38.85,38.85,36.8,37.56,807800,37.56
2006-03-01,37.66,38.29,37.35,37.83,424900,37.83
2006-03-02,37.95,39.0,37.68,37.85,384200,37.85
2006-03-03,37.89,38.21,37.1,37.41,331500,37.41
2006-03-06,37.51,37.57,36.97,37.06,356500,37.06
2006-03-07,37.01,37.01,34.01,35.4,1179200,35.4
2006-03-08,35.25,35.95,34.45,34.93,551900,34.93
2006-03-09,35.0,35.45,34.25,34.52,409700,34.52
2006-03-10,34.72,34.72,32.9,33.9,981100,33.9
2006-03-13,33.72,34.54,33.61,34.25,357500,34.25
2006-03-14,34.25,35.7,34.0,35.7,508400,35.7
2006-03-15,36.25,36.9,35.7,35.79,539400,35.79
2006-03-16,35.7,35.83,34.85,35.49,444200,35.49
2006-03-17,35.7,36.04,34.91,35.06,346700,35.06
2006-03-20,35.05,35.34,32.32,33.0,1600100,33.0
2006-03-21,32.8,33.26,31.51,32.8,1415100,32.8
2006-03-22,33.0,33.04,32.38,32.51,397600,32.51
2006-03-23,32.56,33.32,32.02,33.22,482100,33.22
2006-03-24,33.47,34.6,33.2,34.21,500500,34.21
2006-03-27,34.43,36.5,34.22,36.3,905300,36.3
2006-03-28,36.5,36.8,35.1,36.0,650200,36.0
2006-03-29,36.6,37.53,36.15,37.53,502000,37.53
2006-03-30,37.58,37.89,36.17,37.6,636400,37.6
2006-03-31,37.5,37.51,36.81,36.99,322800,36.99
2006-04-03,37.0,37.0,32.35,32.75,2331900,32.75
2006-04-04,33.5,35.16,32.75,34.98,1769000,34.98
2006-04-05,35.15,35.3,34.44,34.75,564000,34.75
2006-04-06,35.05,35.4,32.92,33.75,842200,33.75
2006-04-07,33.95,34.1,33.06,33.4,494000,33.4
2006-04-10,33.4,34.3,33.25,33.99,394600,33.99
2006-04-11,34.1,34.4,33.15,33.26,407500,33.26
2006-04-12,33.2,34.26,32.1,34.2,1054000,34.2
2006-04-13,34.25,34.5,33.65,34.05,246900,34.05
2006-04-17,34.7,36.85,34.7,36.22,1177500,36.22
2006-04-18,36.95,37.39,36.55,37.2,1104100,37.2
2006-04-19,37.65,41.5,37.65,40.91,2346200,40.91
2006-04-20,40.5,40.5,36.7,37.8,1822300,37.8
2006-04-21,38.0,39.27,37.6,37.85,743600,37.85
2006-04-24,38.0,38.46,37.0,37.93,617200,37.93
2006-04-25,38.65,38.75,37.15,37.34,382400,37.34
2006-04-26,37.95,37.95,35.61,36.11,508500,36.11
