Date,Open,High,Low,Close,Volume,Adj Close
2013-07-24,4.9,6.0,4.9,5.9,10500,5.9
2013-07-25,5.99,6.15,5.99,6.15,900,6.15
2013-07-26,6.15,6.15,6.15,6.15,0,6.15
2013-07-29,6.4,6.4,6.4,6.4,1000,6.4
2013-07-30,6.4,6.4,6.4,6.4,0,6.4
2013-07-31,6.35,6.4,6.19,6.4,1900,6.4
2013-08-01,6.38,6.4,4.81,5.67,130000,5.67
2013-08-02,5.5,6.14,5.5,5.51,116700,5.51
2013-08-05,5.52,5.52,4.9,5.0,113100,5.0
2013-08-06,4.99,5.16,4.47,4.85,397800,4.85
2013-08-07,4.83,5.61,4.81,5.2,436600,5.2
2013-08-08,5.3,5.37,5.05,5.11,165600,5.11
2013-08-09,5.0,5.11,4.61,4.63,154400,4.63
2013-08-12,4.69,5.29,4.65,5.12,501200,5.12
2013-08-13,5.06,5.11,4.98,5.04,244500,5.04
2013-08-14,5.0,5.1,5.0,5.07,101600,5.07
2013-08-15,5.05,5.05,4.85,5.0,176200,5.0
2013-08-16,4.95,5.05,4.83,4.98,117500,4.98
2013-08-19,4.96,5.27,4.93,5.11,109500,5.11
2013-08-20,5.01,5.3,5.01,5.27,88000,5.27
2013-08-21,5.28,5.36,5.2,5.27,54500,5.27
2013-08-22,5.3,5.4,5.3,5.31,127400,5.31
2013-08-23,5.3,5.38,5.3,5.34,67500,5.34
2013-08-26,5.4,5.4,5.3,5.31,43700,5.31
2013-08-27,5.28,5.38,5.12,5.13,62000,5.13
2013-08-28,5.14,5.21,5.04,5.16,67800,5.16
2013-08-29,5.14,5.23,5.07,5.23,48700,5.23
2013-08-30,5.24,5.38,5.07,5.14,56900,5.14
2013-09-03,5.07,5.3,5.04,5.11,66100,5.11
2013-09-04,5.0,5.11,5.0,5.11,40500,5.11
2013-09-05,5.03,5.13,5.03,5.09,65600,5.09
2013-09-06,5.12,5.16,5.04,5.1,47800,5.1
2013-09-09,5.0,5.2,5.0,5.17,53100,5.17
2013-09-10,5.17,5.23,5.06,5.11,44900,5.11
2013-09-11,5.2,5.2,5.09,5.11,29900,5.11
