Date,Open,High,Low,Close,Volume,Adj Close
1999-09-23,50.25,55.0,46.94,48.0,369500,240.0
1999-09-24,48.06,50.75,46.0,50.13,174100,250.63
1999-09-27,52.0,52.25,49.63,49.63,71400,248.13
1999-09-28,49.69,49.75,46.25,47.63,78100,238.13
1999-09-29,46.88,47.25,46.5,46.5,51200,232.5
1999-09-30,46.0,51.13,45.56,49.88,107500,249.38
1999-10-01,50.0,64.88,48.06,62.0,406400,310.0
1999-10-04,62.75,81.38,62.13,75.0,609700,375.0
1999-10-05,73.75,77.88,67.25,71.5,290800,357.5
1999-10-06,72.81,74.5,69.38,69.44,99800,347.19
1999-10-07,69.38,75.0,67.5,70.31,122800,351.56
1999-10-08,70.5,70.56,67.0,68.19,27100,340.94
1999-10-11,68.0,75.94,68.0,75.25,64300,376.25
1999-10-12,75.97,82.0,72.78,73.75,110600,368.75
1999-10-13,69.25,74.63,67.25,69.63,47000,348.13
1999-10-14,70.0,73.0,60.0,69.88,42600,349.38
1999-10-15,67.0,73.13,65.5,70.06,56000,350.31
1999-10-18,72.88,76.75,61.25,68.0,156500,340.0
1999-10-19,71.0,71.25,61.38,63.25,42500,316.25
1999-10-20,66.75,71.25,64.0,70.13,41700,350.63
1999-10-21,66.0,76.88,66.0,75.63,72800,378.13
1999-10-22,76.25,77.88,74.5,75.0,28000,375.0
1999-10-25,75.0,75.13,70.63,72.0,46700,360.0
1999-10-26,72.0,85.75,71.25,84.38,55300,421.88
1999-10-27,80.63,92.25,79.63,90.75,85000,453.75
1999-10-28,90.44,95.94,89.0,91.88,166700,459.38
1999-10-29,91.88,97.0,84.13,84.13,33400,420.63
1999-11-01,86.75,88.5,81.13,81.13,54100,405.63
1999-11-02,81.19,90.0,81.19,83.75,20500,418.75
1999-11-03,87.5,89.13,80.0,81.75,9800,408.75
1999-11-04,83.0,87.0,83.0,84.88,12300,424.38
1999-11-05,86.25,94.0,86.0,88.06,27000,440.31
1999-11-08,89.63,152.81,88.88,150.5,169100,752.5
1999-11-09,145.75,164.75,130.0,141.25,283500,706.25
1999-11-10,139.25,148.75,125.0,128.5,80100,642.5
1999-11-11,128.5,131.44,112.0,112.5,67500,562.5
