Date,Open,High,Low,Close,Volume,Adj Close
1998-08-10,19.0,19.0,17.0,18.0,2100,180.0
1998-08-11,17.0,17.19,15.63,16.0,8800,160.0
1998-08-12,15.63,16.0,15.63,15.88,4000,158.75
1998-08-13,15.5,16.25,15.38,16.25,1400,162.5
1998-08-14,16.25,16.25,15.38,15.5,6500,155.0
1998-08-17,15.94,15.94,15.25,15.44,2200,154.38
1998-08-18,15.75,15.75,15.25,15.38,1800,153.75
1998-08-19,15.25,15.63,15.13,15.41,8800,154.06
1998-08-20,15.25,15.38,14.25,14.75,81200,147.5
1998-08-21,14.88,14.88,14.13,14.5,6400,145.0
1998-08-24,14.38,14.63,13.0,13.63,22800,136.25
1998-08-25,14.0,14.0,9.63,10.75,10900,107.5
1998-08-26,10.75,11.0,10.38,10.75,38400,107.5
1998-08-27,10.13,11.0,9.31,10.0,7900,100.0
1998-08-28,9.25,9.75,8.5,8.81,11500,88.13
1998-08-31,8.75,8.75,8.0,8.0,11700,80.0
1998-09-01,8.0,10.13,6.0,9.38,14300,93.75
1998-09-02,9.88,9.88,8.75,8.75,7000,87.5
1998-09-03,8.25,9.06,7.69,8.75,4500,87.5
1998-09-04,8.5,9.5,8.25,9.0,2300,90.0
1998-09-08,8.88,9.5,8.5,8.75,3000,87.5
1998-09-09,8.88,9.13,8.44,8.56,4200,85.63
1998-09-10,8.25,8.75,8.06,8.13,600,81.25
1998-09-11,8.5,9.5,8.0,9.5,4600,95.0
1998-09-14,9.5,11.88,9.5,11.5,7500,115.0
1998-09-15,11.5,11.75,10.38,10.5,6300,105.0
1998-09-16,10.88,11.0,10.31,10.63,5200,106.25
1998-09-17,9.88,10.38,9.44,10.25,4900,102.5
1998-09-18,9.88,10.78,9.88,10.5,5600,105.0
1998-09-21,9.75,10.88,9.63,10.63,3100,106.25
1998-09-22,10.38,10.75,10.38,10.63,5100,106.25
1998-09-23,10.56,11.5,10.56,10.88,9300,108.75
1998-09-24,10.88,10.88,10.5,10.75,11300,107.5
1998-09-25,10.25,10.75,9.75,10.25,7500,102.5
1998-09-28,10.88,11.0,10.25,10.75,1500,107.5
1998-09-29,10.25,11.0,10.25,10.88,4600,108.75
1998-09-30,10.5,10.75,10.5,10.5,1200,105.0
1998-10-01,10.25,10.75,10.25,10.25,2900,102.5
1998-10-02,10.5,10.88,10.5,10.63,1600,106.25
1998-10-05,10.5,10.75,10.0,10.5,8400,105.0
1998-10-06,10.0,10.63,7.0,8.78,6700,87.81
1998-10-07,8.94,8.94,8.0,8.13,5600,81.25
1998-10-08,8.63,8.63,6.75,7.75,4800,77.5
1998-10-09,8.0,9.06,7.5,9.06,4800,90.63
1998-10-12,9.0,9.75,9.0,9.38,11700,93.75
1998-10-13,9.25,10.13,9.0,10.0,24300,100.0
1998-10-14,9.88,10.5,9.5,10.5,14700,105.0
1998-10-15,10.0,10.63,10.0,10.38,1300,103.75
1998-10-16,10.13,10.38,9.63,9.88,2600,98.75
1998-10-19,9.69,10.25,9.69,9.88,7500,98.75
1998-10-20,10.0,11.13,9.69,10.5,17400,105.0
1998-10-21,10.5,12.88,10.38,11.88,11400,118.75
1998-10-22,12.0,12.25,11.38,11.56,8400,115.63
1998-10-23,11.63,11.63,10.88,11.0,3100,110.0
1998-10-26,11.5,11.63,10.75,11.38,2700,113.75
1998-10-27,11.38,11.75,10.75,10.75,3300,107.5
1998-10-28,11.0,11.0,10.25,10.5,3500,105.0
1998-10-29,10.75,10.75,10.25,10.31,2100,103.13
1998-10-30,10.38,10.38,9.56,9.56,26300,95.63
1998-11-02,9.63,10.25,9.63,10.0,1500,100.0
1998-11-03,10.44,10.5,9.75,10.38,5500,103.75
1998-11-04,10.38,10.69,10.0,10.0,3400,100.0
1998-11-05,10.63,10.63,9.5,10.13,15100,101.25
1998-11-06,9.75,10.0,9.5,9.75,6500,97.5
1998-11-09,10.25,10.38,9.63,9.75,3200,97.5
1998-11-10,10.0,10.38,9.75,10.0,2400,100.0
1998-11-11,9.63,10.13,9.5,10.0,1200,100.0
1998-11-12,10.25,10.63,10.13,10.44,3400,104.38
1998-11-13,10.5,10.88,9.88,9.88,9400,98.75
1998-11-16,9.75,10.0,9.5,9.5,4200,95.0
1998-11-17,9.25,9.75,9.0,9.13,3700,91.25
1998-11-18,9.06,9.75,9.0,9.06,1400,90.63
1998-11-19,9.06,9.63,9.06,9.06,1600,90.63
1998-11-20,9.06,9.88,9.06,9.31,2800,93.13
1998-11-23,9.38,9.69,9.19,9.22,3600,92.19
1998-11-24,9.38,9.5,9.19,9.5,3400,95.0
1998-11-25,9.63,9.63,9.0,9.5,2900,95.0
1998-11-27,9.0,9.13,8.63,9.0,2600,90.0
1998-11-30,8.63,8.75,7.75,8.38,5800,83.75
1998-12-01,7.94,8.25,7.75,8.06,3600,80.63
1998-12-02,8.06,8.06,7.75,7.94,3500,79.38
1998-12-03,7.88,8.0,7.38,7.94,4000,79.38
1998-12-04,7.75,8.38,7.13,7.88,5600,78.75
1998-12-07,7.75,7.88,7.13,7.44,3800,74.38
1998-12-08,7.75,7.75,7.25,7.25,3500,72.5
1998-12-09,7.25,7.56,7.13,7.13,2800,71.25
1998-12-10,7.06,7.38,6.5,7.25,3500,72.5
1998-12-11,6.75,7.25,6.75,7.0,19600,70.0
1998-12-14,6.88,7.0,6.25,6.63,6800,66.25
1998-12-15,6.88,6.88,6.5,6.5,3300,65.0
1998-12-16,6.5,6.63,6.25,6.5,4900,65.0
1998-12-17,6.88,6.88,6.19,6.38,6100,63.75
1998-12-18,6.31,6.5,6.13,6.31,3400,63.13
1998-12-21,6.0,6.25,5.63,5.75,30300,57.5
1998-12-22,5.75,6.25,5.5,5.75,12000,57.5
1998-12-23,5.81,6.0,5.81,6.0,5400,60.0
