Date,Open,High,Low,Close,Volume,Adj Close
2005-01-03,2.1,2.1,2.1,2.1,0,2.1
2005-01-04,2.1,2.1,2.05,2.05,1400,2.05
2005-01-05,1.92,2.05,1.77,2.05,10500,2.05
2005-01-06,2.0,2.02,1.97,2.02,4300,2.02
2005-01-07,2.05,2.05,2.05,2.05,200,2.05
2005-01-10,2.02,2.05,1.77,2.05,800,2.05
2005-01-11,1.8,2.05,1.8,1.9,7200,1.9
2005-01-12,1.8,1.9,1.75,1.9,7800,1.9
2005-01-13,1.85,1.9,1.75,1.85,25000,1.85
2005-01-14,1.85,1.85,1.8,1.85,7500,1.85
2005-01-18,1.85,1.85,1.85,1.85,500,1.85
2005-01-19,1.85,1.92,1.85,1.92,8600,1.92
2005-01-20,1.92,1.92,1.92,1.92,200,1.92
2005-01-21,1.92,1.92,1.92,1.92,0,1.92
2005-01-24,1.92,1.92,1.8,1.8,24700,1.8
2005-01-25,1.8,2.01,1.75,2.01,3200,2.01
2005-01-26,2.01,2.01,2.01,2.01,0,2.01
2005-01-27,1.8,1.95,1.75,1.91,4800,1.91
2005-01-28,1.9,1.9,1.8,1.85,33400,1.85
2005-01-31,1.85,1.85,1.8,1.83,15700,1.83
2005-02-01,1.8,1.8,1.8,1.8,8500,1.8
2005-02-02,1.77,1.79,1.73,1.78,10700,1.78
2005-02-03,1.75,1.75,1.65,1.7,11700,1.7
2005-02-04,1.68,1.8,1.65,1.65,9800,1.65
2005-02-07,1.77,1.78,1.75,1.78,1900,1.78
2005-02-08,1.65,1.7,1.65,1.7,5400,1.7
2005-02-09,1.7,1.7,1.7,1.7,0,1.7
2005-02-10,1.7,1.7,1.7,1.7,300,1.7
2005-02-11,1.7,1.7,1.7,1.7,0,1.7
2005-02-14,1.7,1.7,1.5,1.6,5800,1.6
2005-02-15,1.6,1.7,1.45,1.6,16500,1.6
2005-02-16,1.6,1.68,1.6,1.65,16200,1.65
2005-02-17,1.65,1.7,1.62,1.7,4300,1.7
2005-02-18,1.8,1.85,1.7,1.75,20000,1.75
2005-02-22,1.65,1.65,1.6,1.65,3500,1.65
2005-02-23,1.65,1.8,1.55,1.65,16700,1.65
2005-02-24,1.56,1.65,1.55,1.65,9300,1.65
2005-02-25,1.65,1.65,1.65,1.65,0,1.65
2005-02-28,1.58,1.65,1.58,1.65,5100,1.65
2005-03-01,1.6,1.65,1.6,1.65,2000,1.65
2005-03-02,1.6,1.65,1.6,1.65,3000,1.65
2005-03-03,1.6,1.6,1.56,1.6,6000,1.6
2005-03-04,1.56,1.6,1.56,1.6,3500,1.6
2005-03-07,1.6,1.6,1.51,1.6,5000,1.6
2005-03-08,1.51,1.6,1.51,1.6,2300,1.6
2005-03-09,1.54,1.6,1.54,1.6,2200,1.6
2005-03-10,1.51,1.54,1.4,1.4,14700,1.4
2005-03-11,1.5,1.54,1.45,1.5,6200,1.5
2005-03-14,1.45,1.48,1.45,1.48,1600,1.48
2005-03-15,1.48,1.55,1.48,1.5,4500,1.5
2005-03-16,1.4,1.56,1.25,1.56,37400,1.56
2005-03-17,1.5,1.56,1.5,1.54,21800,1.54
2005-03-18,1.56,1.63,1.54,1.63,22100,1.63
2005-03-21,1.6,1.63,1.59,1.59,9400,1.59
2005-03-22,1.59,1.72,1.59,1.72,14700,1.72
2005-03-23,1.55,1.83,1.55,1.83,5000,1.83
2005-03-24,1.52,1.7,1.52,1.7,1400,1.7
2005-03-28,1.52,1.75,1.5,1.5,5900,1.5
2005-03-29,1.65,1.66,1.52,1.66,1300,1.66
2005-03-30,1.67,1.68,1.52,1.6,10100,1.6
2005-03-31,1.6,1.8,1.6,1.8,5500,1.8
2005-04-01,1.8,1.8,1.8,1.8,2300,1.8
2005-04-04,1.6,1.6,1.54,1.58,4800,1.58
2005-04-05,1.65,1.65,1.65,1.65,600,1.65
2005-04-06,1.65,1.65,1.65,1.65,0,1.65
2005-04-07,1.58,1.63,1.53,1.63,10900,1.63
2005-04-08,1.57,1.65,1.55,1.62,28200,1.62
2005-04-11,1.6,1.6,1.55,1.6,1700,1.6
2005-04-12,1.5,1.59,1.5,1.57,1800,1.57
2005-04-13,1.51,1.55,1.51,1.55,7500,1.55
2005-04-14,1.51,1.51,1.42,1.51,10800,1.51
2005-04-15,1.53,1.53,1.53,1.53,500,1.53
2005-04-18,1.5,1.5,1.5,1.5,200,1.5
2005-04-19,1.45,1.5,1.43,1.5,4500,1.5
2005-04-20,1.5,1.5,1.5,1.5,0,1.5
2005-04-21,1.5,1.5,1.5,1.5,0,1.5
2005-04-22,1.5,1.5,1.5,1.5,0,1.5
2005-04-25,1.5,1.5,1.4,1.46,4300,1.46
2005-04-26,1.45,1.45,1.45,1.45,200,1.45
2005-04-27,1.45,1.45,1.45,1.45,0,1.45
2005-04-28,1.41,1.48,1.41,1.46,4500,1.46
2005-04-29,1.45,1.47,1.4,1.47,10800,1.47
2005-05-02,1.47,1.47,1.37,1.38,12000,1.38
2005-05-03,1.45,1.5,1.38,1.5,3200,1.5
2005-05-04,1.5,1.5,1.5,1.5,0,1.5
2005-05-05,1.45,1.7,1.4,1.6,22200,1.6
2005-05-06,1.45,1.6,1.37,1.45,23700,1.45
2005-05-09,1.45,1.68,1.43,1.63,19400,1.63
2005-05-10,1.68,1.75,1.52,1.75,29300,1.75
2005-05-11,1.75,1.75,1.31,1.51,143500,1.51
2005-05-12,1.53,1.65,1.53,1.65,20100,1.65
2005-05-13,1.65,1.65,1.65,1.65,1500,1.65
2005-05-16,1.58,1.65,1.55,1.55,11500,1.55
2005-05-17,1.4,1.6,1.4,1.6,4000,1.6
2005-05-18,1.5,1.6,1.49,1.6,11300,1.6
2005-05-19,1.56,1.58,1.5,1.58,21000,1.58
2005-05-20,1.58,1.58,1.58,1.58,2000,1.58
2005-05-23,1.5,1.5,1.49,1.5,900,1.5
2005-05-24,1.49,1.5,1.4,1.5,4600,1.5
2005-05-25,1.5,1.5,1.5,1.5,0,1.5
2005-05-26,1.48,1.5,1.48,1.48,5000,1.48
2005-05-27,1.48,1.48,1.48,1.48,0,1.48
2005-05-31,1.4,1.45,1.3,1.45,21700,1.45
2005-06-01,1.26,1.58,1.22,1.58,37400,1.58
2005-06-02,1.45,1.45,1.3,1.3,9300,1.3
2005-06-03,1.28,1.3,1.22,1.3,11800,1.3
2005-06-06,1.3,1.3,1.3,1.3,100,1.3
2005-06-07,1.24,1.3,1.24,1.3,11800,1.3
2005-06-08,1.45,1.45,1.45,1.45,200,1.45
2005-06-09,1.26,1.35,1.2,1.25,36700,1.25
2005-06-10,1.25,1.25,1.25,1.25,0,1.25
2005-06-13,1.25,1.25,1.25,1.25,0,1.25
2005-06-14,1.2,1.22,1.1,1.1,11700,1.1
2005-06-15,1.17,1.17,1.17,1.17,500,1.17
2005-06-16,1.17,1.2,1.17,1.2,1000,1.2
2005-06-17,1.15,1.3,1.15,1.28,7900,1.28
2005-06-20,1.24,1.25,1.23,1.23,7300,1.23
2005-06-21,1.23,1.23,1.2,1.2,7000,1.2
2005-06-22,1.2,1.2,1.2,1.2,2000,1.2
2005-06-23,1.17,1.25,1.17,1.25,12200,1.25
