Date,Open,High,Low,Close,Volume,Adj Close
1990-12-14,2.5,2.5,2.5,2.5,0,25.0
1990-12-17,2.5,2.5,2.5,2.5,100,25.0
1990-12-18,2.5,2.5,2.5,2.5,0,25.0
1990-12-19,2.5,2.5,2.5,2.5,0,25.0
1990-12-20,2.5,2.5,2.5,2.5,0,25.0
1990-12-21,2.5,2.5,2.5,2.5,100,25.0
1990-12-24,2.5,2.5,2.5,2.5,0,25.0
1990-12-26,2.5,2.5,2.5,2.5,0,25.0
1990-12-27,2.5,2.5,2.5,2.5,0,25.0
1990-12-28,2.75,2.75,2.75,2.75,400,27.5
1990-12-31,3.0,3.0,3.0,3.0,100,30.0
1991-01-02,3.0,3.0,3.0,3.0,0,30.0
1991-01-03,3.0,3.0,3.0,3.0,0,30.0
1991-01-04,3.0,3.0,3.0,3.0,200,30.0
1991-01-07,3.0,3.0,3.0,3.0,0,30.0
1991-01-08,3.0,3.0,3.0,3.0,0,30.0
1991-01-09,3.0,3.0,3.0,3.0,0,30.0
1991-01-10,3.0,3.0,3.0,3.0,300,30.0
1991-01-11,3.0,3.0,3.0,3.0,0,30.0
1991-01-14,3.0,3.0,3.0,3.0,0,30.0
1991-01-15,3.0,3.0,3.0,3.0,0,30.0
1991-01-16,3.0,3.0,3.0,3.0,0,30.0
1991-01-17,3.0,3.0,3.0,3.0,0,30.0
1991-01-18,3.0,3.0,3.0,3.0,500,30.0
1991-01-21,3.0,3.0,3.0,3.0,0,30.0
1991-01-22,3.0,3.0,3.0,3.0,0,30.0
1991-01-23,3.0,3.0,3.0,3.0,0,30.0
1991-01-24,3.0,3.0,3.0,3.0,0,30.0
1991-01-25,3.0,3.0,3.0,3.0,0,30.0
1991-01-28,3.0,3.0,3.0,3.0,0,30.0
1991-01-29,3.0,3.0,3.0,3.0,0,30.0
1991-01-30,3.0,3.0,3.0,3.0,0,30.0
1991-01-31,3.0,3.0,3.0,3.0,0,30.0
1991-02-01,3.0,3.0,3.0,3.0,0,30.0
1991-02-04,3.0,3.0,3.0,3.0,0,30.0
1991-02-05,3.0,3.0,3.0,3.0,0,30.0
1991-02-06,3.0,3.0,3.0,3.0,0,30.0
1991-02-07,3.0,3.0,3.0,3.0,0,30.0
1991-02-08,3.25,3.25,3.25,3.25,0,32.5
1991-02-11,3.25,3.25,3.25,3.25,0,32.5
1991-02-12,3.25,3.25,3.25,3.25,0,32.5
1991-02-13,3.25,3.25,3.25,3.25,100,32.5
1991-02-14,3.25,3.25,3.25,3.25,0,32.5
1991-02-15,3.25,3.25,3.25,3.25,0,32.5
1991-02-19,3.25,3.25,3.25,3.25,0,32.5
1991-02-20,3.25,3.25,3.25,3.25,200,32.5
1991-02-21,3.25,3.25,3.25,3.25,200,32.5
1991-02-22,3.25,3.25,3.25,3.25,0,32.5
1991-02-25,3.25,3.25,3.25,3.25,200,32.5
1991-02-26,3.25,3.25,3.25,3.25,0,32.5
1991-02-27,3.25,3.25,3.25,3.25,0,32.5
1991-02-28,3.25,3.25,3.25,3.25,0,32.5
1991-03-01,3.25,3.25,3.25,3.25,0,32.5
1991-03-04,3.5,3.5,3.5,3.5,1000,35.0
1991-03-05,3.5,3.5,3.5,3.5,200,35.0
1991-03-06,3.5,3.5,3.5,3.5,100,35.0
1991-03-07,3.5,3.5,3.5,3.5,300,35.0
1991-03-08,3.5,3.5,3.5,3.5,100,35.0
1991-03-11,3.5,3.5,3.5,3.5,0,35.0
1991-03-12,3.5,3.5,3.5,3.5,0,35.0
1991-03-13,3.5,3.5,3.5,3.5,0,35.0
1991-03-14,3.5,3.5,3.5,3.5,0,35.0
1991-03-15,3.5,3.5,3.5,3.5,0,35.0
1991-03-18,3.5,3.5,3.5,3.5,0,35.0
1991-03-19,3.5,3.5,3.5,3.5,0,35.0
1991-03-20,3.5,3.5,3.5,3.5,0,35.0
1991-03-21,3.5,3.5,3.5,3.5,0,35.0
1991-03-22,3.5,3.5,3.5,3.5,0,35.0
1991-03-25,3.5,3.5,3.5,3.5,200,35.0
1991-03-26,3.5,3.5,3.5,3.5,0,35.0
1991-03-27,3.5,3.5,3.5,3.5,0,35.0
1991-03-28,3.5,3.5,3.5,3.5,100,35.0
1991-04-01,3.5,3.5,3.5,3.5,0,35.0
1991-04-02,3.5,3.5,3.5,3.5,200,35.0
1991-04-03,3.5,3.5,3.5,3.5,0,35.0
1991-04-04,3.5,3.5,3.5,3.5,0,35.0
1991-04-05,3.5,3.5,3.5,3.5,0,35.0
1991-04-08,3.5,3.5,3.5,3.5,0,35.0
1991-04-09,3.5,3.5,3.5,3.5,0,35.0
1991-04-10,3.5,3.5,3.5,3.5,0,35.0
1991-04-11,3.5,3.5,3.5,3.5,0,35.0
1991-04-12,3.5,3.5,3.5,3.5,0,35.0
1991-04-15,3.5,3.5,3.5,3.5,0,35.0
1991-04-16,3.5,3.5,3.5,3.5,0,35.0
