Date,Open,High,Low,Close,Volume,Adj Close
2012-03-28,10.01,10.01,10.01,10.01,0,10.01
2012-03-29,10.01,10.01,10.01,10.01,0,10.01
2012-03-30,9.0,9.0,9.0,9.0,200,9.0
2012-04-02,8.0,8.0,8.0,8.0,400,8.0
2012-04-03,7.0,7.0,6.0,6.0,1800,6.0
2012-04-04,6.0,6.0,6.0,6.0,0,6.0
2012-04-05,6.0,6.0,6.0,6.0,200,6.0
2012-04-09,8.0,8.0,8.0,8.0,100,8.0
2012-04-10,8.0,8.0,8.0,8.0,0,8.0
2012-04-11,8.0,8.0,8.0,8.0,0,8.0
2012-04-12,8.0,8.0,8.0,8.0,0,8.0
2012-04-13,8.0,8.0,8.0,8.0,0,8.0
2012-04-16,8.0,8.0,8.0,8.0,0,8.0
2012-04-17,8.0,8.0,8.0,8.0,0,8.0
2012-04-18,8.0,8.0,8.0,8.0,0,8.0
2012-04-19,8.0,8.0,8.0,8.0,0,8.0
2012-04-20,8.0,8.0,8.0,8.0,0,8.0
2012-04-23,8.0,8.0,8.0,8.0,0,8.0
2012-04-24,8.0,8.0,8.0,8.0,0,8.0
2012-04-25,8.0,8.0,8.0,8.0,0,8.0
2012-04-26,8.0,8.0,8.0,8.0,0,8.0
2012-04-27,8.0,8.0,8.0,8.0,0,8.0
2012-04-30,8.0,8.0,8.0,8.0,0,8.0
2012-05-01,8.0,8.0,8.0,8.0,0,8.0
2012-05-02,8.0,8.0,8.0,8.0,0,8.0
2012-05-03,8.0,8.0,8.0,8.0,0,8.0
2012-05-04,8.0,8.0,8.0,8.0,0,8.0
2012-05-07,8.0,8.0,8.0,8.0,0,8.0
2012-05-08,8.0,8.0,8.0,8.0,0,8.0
2012-05-09,8.0,8.0,8.0,8.0,0,8.0
2012-05-10,8.0,8.0,8.0,8.0,0,8.0
2012-05-11,8.0,8.0,8.0,8.0,0,8.0
2012-05-14,5.5,5.5,5.1,5.1,800,5.1
2012-05-15,5.1,5.1,5.1,5.1,0,5.1
2012-05-16,5.1,5.1,5.1,5.1,0,5.1
2012-05-17,5.1,5.1,5.1,5.1,0,5.1
2012-05-18,5.0,5.0,4.5,4.5,1000,4.5
2012-05-21,4.5,4.5,4.5,4.5,0,4.5
2012-05-22,4.5,4.5,4.5,4.5,0,4.5
2012-05-23,4.5,4.5,4.5,4.5,0,4.5
2012-05-24,4.5,4.5,4.5,4.5,300,4.5
2012-05-25,4.5,4.5,4.5,4.5,0,4.5
2012-05-29,4.5,4.5,4.5,4.5,0,4.5
2012-05-30,4.5,4.5,4.5,4.5,0,4.5
2012-05-31,4.5,4.5,4.5,4.5,0,4.5
2012-06-01,4.5,4.5,4.5,4.5,0,4.5
2012-06-04,4.0,4.0,2.6,2.6,2100,2.6
2012-06-05,2.6,2.6,2.6,2.6,0,2.6
2012-06-06,2.6,2.6,2.6,2.6,0,2.6
2012-06-07,2.6,2.6,2.6,2.6,0,2.6
2012-06-08,2.6,2.6,2.6,2.6,0,2.6
2012-06-11,2.6,2.6,2.6,2.6,0,2.6
2012-06-12,2.6,2.6,2.6,2.6,0,2.6
2012-06-13,2.6,2.6,2.6,2.6,0,2.6
2012-06-14,2.6,2.6,2.6,2.6,0,2.6
2012-06-15,2.6,2.6,2.6,2.6,0,2.6
2012-06-18,2.6,2.6,2.6,2.6,0,2.6
2012-06-19,2.65,2.65,2.65,2.65,1000,2.65
2012-06-20,2.65,2.65,2.65,2.65,0,2.65
2012-06-21,2.65,2.65,2.65,2.65,0,2.65
2012-06-22,2.65,2.65,2.65,2.65,0,2.65
2012-06-25,2.65,2.65,2.65,2.65,0,2.65
2012-06-26,2.65,2.65,2.65,2.65,0,2.65
2012-06-27,2.65,2.65,2.65,2.65,0,2.65
2012-06-28,2.65,2.65,2.65,2.65,0,2.65
2012-06-29,2.65,2.65,2.65,2.65,0,2.65
2012-07-02,2.65,2.65,2.65,2.65,0,2.65
2012-07-03,2.65,2.65,2.65,2.65,0,2.65
2012-07-05,2.65,2.65,2.65,2.65,0,2.65
2012-07-06,2.65,2.65,2.65,2.65,0,2.65
2012-07-09,2.75,2.75,2.75,2.75,500,2.75
2012-07-10,2.75,2.75,2.75,2.75,0,2.75
2012-07-11,2.75,2.75,2.75,2.75,0,2.75
2012-07-12,2.75,2.75,2.75,2.75,0,2.75
2012-07-13,2.75,2.75,2.75,2.75,0,2.75
2012-07-16,2.5,2.5,2.1,2.45,3000,2.45
2012-07-17,2.45,2.45,2.45,2.45,0,2.45
2012-07-18,2.1,2.1,2.1,2.1,1000,2.1
2012-07-19,2.45,2.65,2.45,2.65,5200,2.65
2012-07-20,2.52,2.52,2.25,2.5,5500,2.5
2012-07-23,2.25,2.25,2.25,2.25,500,2.25
2012-07-24,2.25,2.25,2.25,2.25,0,2.25
2012-07-25,2.25,2.25,2.25,2.25,0,2.25
2012-07-26,2.05,2.45,2.05,2.05,2600,2.05
2012-07-27,2.1,2.2,2.1,2.2,1000,2.2
2012-07-30,2.25,2.25,2.0,2.0,3500,2.0
2012-07-31,2.0,2.0,2.0,2.0,500,2.0
2012-08-01,2.1,2.1,2.0,2.0,4000,2.0
2012-08-02,2.0,2.19,2.0,2.05,2700,2.05
2012-08-03,2.02,2.05,1.9,2.05,1500,2.05
2012-08-06,2.02,2.25,2.0,2.15,11200,2.15
2012-08-07,2.17,2.17,2.0,2.17,22200,2.17
2012-08-08,2.16,2.16,1.95,2.0,28200,2.0
2012-08-09,2.0,2.05,1.8,1.95,16400,1.95
2012-08-10,1.75,1.95,1.75,1.95,5300,1.95
2012-08-13,1.85,1.95,1.8,1.8,7400,1.8
2012-08-14,1.8,2.0,1.73,1.9,10900,1.9
2012-08-15,1.55,1.88,1.35,1.64,19200,1.64
2012-08-16,1.2,1.4,0.85,1.4,19700,1.4
2012-08-17,1.1,1.8,1.1,1.8,6000,1.8
2012-08-20,1.5,1.95,1.5,1.9,9600,1.9
2012-08-21,1.89,1.95,1.85,1.95,3700,1.95
2012-08-22,1.94,1.94,1.94,1.94,200,1.94
2012-08-23,1.7,1.9,1.31,1.7,4500,1.7
2012-08-24,1.67,1.67,1.65,1.65,1200,1.65
2012-08-27,1.6,1.6,1.02,1.15,31900,1.15
2012-08-28,1.15,1.5,1.15,1.5,4500,1.5
2012-08-29,1.25,1.65,1.15,1.65,9200,1.65
2012-08-30,1.65,1.65,1.65,1.65,0,1.65
2012-08-31,1.65,1.65,1.65,1.65,0,1.65
2012-09-04,1.55,1.6,1.2,1.22,43100,1.22
2012-09-05,1.25,1.38,1.22,1.25,10500,1.25
2012-09-06,1.3,1.36,1.18,1.25,199000,1.25
2012-09-07,1.27,1.27,0.9,1.25,76900,1.25
2012-09-10,1.2,1.2,0.95,1.04,12200,1.04
