Date,Open,High,Low,Close,Volume,Adj Close
2010-11-08,1.01,1.01,1.01,1.01,2000,0.25
2010-11-09,1.01,1.01,1.01,1.01,0,0.25
2010-11-10,1.01,1.01,1.01,1.01,0,0.25
2010-11-11,1.01,1.01,1.01,1.01,0,0.25
2010-11-12,1.01,1.01,1.01,1.01,0,0.25
2010-11-15,1.01,1.01,1.01,1.01,0,0.25
2010-11-16,1.01,1.01,1.01,1.01,0,0.25
2010-11-17,1.01,1.01,1.01,1.01,0,0.25
2010-11-18,1.01,1.01,1.01,1.01,0,0.25
2010-11-19,1.01,1.01,1.01,1.01,0,0.25
2010-11-22,1.01,1.01,1.01,1.01,0,0.25
2010-11-23,1.01,1.01,1.01,1.01,0,0.25
2010-11-24,1.05,1.05,1.05,1.05,4000,0.26
2010-11-26,1.05,1.05,1.05,1.05,0,0.26
2010-11-29,1.05,1.05,1.05,1.05,0,0.26
2010-11-30,1.05,1.05,1.05,1.05,4000,0.26
2010-12-01,1.05,1.05,1.05,1.05,0,0.26
2010-12-02,1.05,1.05,1.05,1.05,0,0.26
2010-12-03,1.05,1.05,1.05,1.05,0,0.26
2010-12-06,1.05,1.05,1.05,1.05,0,0.26
2010-12-07,1.05,1.05,1.05,1.05,0,0.26
2010-12-08,1.05,1.05,1.05,1.05,0,0.26
2010-12-09,2.55,4.5,2.55,4.5,26000,1.12
2010-12-10,5.5,5.5,5.5,5.5,2000,1.38
2010-12-13,4.1,7.0,4.1,6.5,12800,1.62
2010-12-14,7.0,12.0,6.8,11.0,16800,2.75
2010-12-15,3.0,3.0,3.0,3.0,6500,3.0
2010-12-16,3.05,3.05,3.0,3.0,2000,3.0
2010-12-17,2.85,3.0,2.85,3.0,7000,3.0
2010-12-20,2.95,2.95,2.95,2.95,4800,2.95
2010-12-21,2.86,2.86,2.75,2.75,3200,2.75
2010-12-22,2.6,2.6,2.5,2.5,2000,2.5
2010-12-23,2.8,2.8,2.8,2.8,3000,2.8
2010-12-27,2.75,2.75,2.75,2.75,100,2.75
2010-12-28,2.55,2.85,2.55,2.85,2200,2.85
2010-12-29,2.85,2.85,2.85,2.85,0,2.85
2010-12-30,2.85,2.85,2.85,2.85,0,2.85
2010-12-31,2.85,2.85,2.85,2.85,0,2.85
2011-01-03,2.65,2.65,2.0,2.65,2500,2.65
2011-01-04,2.65,2.7,2.52,2.6,27400,2.6
2011-01-05,2.65,2.65,2.55,2.55,3600,2.55
2011-01-06,2.65,2.8,2.65,2.8,14200,2.8
2011-01-07,2.9,2.95,2.8,2.95,6100,2.95
2011-01-10,2.9,3.05,2.9,3.05,6400,3.05
2011-01-11,2.95,2.95,2.95,2.95,1000,2.95
2011-01-12,2.85,2.95,2.85,2.95,3900,2.95
2011-01-13,3.3,3.3,2.9,2.9,800,2.9
2011-01-14,2.8,2.95,2.8,2.95,3500,2.95
2011-01-18,3.0,3.1,2.81,3.0,11800,3.0
2011-01-19,3.0,3.0,3.0,3.0,0,3.0
2011-01-20,3.0,3.0,2.85,2.85,2300,2.85
2011-01-21,2.85,2.85,2.85,2.85,0,2.85
2011-01-24,2.95,2.95,2.95,2.95,2500,2.95
2011-01-25,2.95,2.95,2.95,2.95,0,2.95
2011-01-26,2.95,2.95,2.95,2.95,0,2.95
2011-01-27,2.95,2.95,2.95,2.95,0,2.95
2011-01-28,2.8,2.8,2.8,2.8,1100,2.8
2011-01-31,2.8,2.8,2.8,2.8,0,2.8
2011-02-01,2.75,2.75,2.75,2.75,600,2.75
2011-02-02,2.7,2.7,2.5,2.5,1000,2.5
2011-02-03,2.5,2.5,2.49,2.5,2500,2.5
2011-02-04,2.5,2.5,2.5,2.5,0,2.5
2011-02-07,2.5,2.5,2.5,2.5,0,2.5
2011-02-08,2.5,2.5,2.5,2.5,0,2.5
2011-02-09,2.5,2.82,2.5,2.8,5500,2.8
2011-02-10,2.8,2.8,2.8,2.8,0,2.8
2011-02-11,2.8,2.88,2.8,2.85,5500,2.85
2011-02-14,2.8,2.8,2.8,2.8,1500,2.8
2011-02-15,2.8,3.05,2.8,3.05,5300,3.05
2011-02-16,3.05,3.05,3.05,3.05,700,3.05
2011-02-17,3.0,3.0,2.85,2.85,1700,2.85
2011-02-18,2.9,2.9,2.85,2.85,3000,2.85
2011-02-22,2.85,2.85,2.85,2.85,0,2.85
2011-02-23,2.95,2.95,2.8,2.81,6100,2.81
2011-02-24,2.85,3.0,2.85,3.0,3500,3.0
