Date,Open,High,Low,Close,Volume,Adj Close
1996-01-18,6.38,6.38,6.38,6.38,600,6.38
1996-01-19,6.75,6.75,6.75,6.75,1600,6.75
1996-01-22,6.75,6.75,6.75,6.75,0,6.75
1996-01-23,6.75,6.75,6.75,6.75,0,6.75
1996-01-24,7.0,7.0,7.0,7.0,1100,7.0
1996-01-25,7.0,7.0,7.0,7.0,1600,7.0
1996-01-26,7.0,7.0,7.0,7.0,0,7.0
1996-01-29,7.0,7.0,7.0,7.0,0,7.0
1996-01-30,7.0,7.0,7.0,7.0,0,7.0
1996-01-31,7.0,7.0,6.75,6.75,5800,6.75
1996-02-01,6.75,6.75,6.75,6.75,0,6.75
1996-02-02,6.75,6.75,6.75,6.75,0,6.75
1996-02-05,7.0,7.0,7.0,7.0,200,7.0
1996-02-06,7.0,7.0,7.0,7.0,0,7.0
1996-02-07,6.25,6.5,6.25,6.5,200,6.5
1996-02-08,6.5,6.5,6.5,6.5,0,6.5
1996-02-09,6.5,6.5,6.5,6.5,0,6.5
1996-02-12,6.5,6.5,6.5,6.5,0,6.5
1996-02-13,7.25,7.25,7.25,7.25,200,7.25
1996-02-14,7.25,7.25,7.25,7.25,100,7.25
1996-02-15,6.5,7.25,6.5,7.25,700,7.25
1996-02-16,7.25,7.25,7.25,7.25,300,7.25
1996-02-20,7.25,7.25,7.25,7.25,0,7.25
1996-02-21,7.25,7.25,7.25,7.25,100,7.25
1996-02-22,7.25,7.25,7.25,7.25,0,7.25
1996-02-23,7.25,7.25,7.25,7.25,0,7.25
1996-02-26,6.5,6.5,6.5,6.5,900,6.5
1996-02-27,6.5,6.5,6.5,6.5,0,6.5
1996-02-28,6.5,6.5,6.5,6.5,0,6.5
1996-02-29,6.5,6.5,6.5,6.5,100,6.5
1996-03-01,7.25,7.25,7.25,7.25,3000,7.25
1996-03-04,7.25,7.25,7.25,7.25,500,7.25
1996-03-05,7.25,7.25,7.25,7.25,1000,7.25
1996-03-06,7.25,7.25,7.25,7.25,0,7.25
1996-03-07,7.25,7.25,7.25,7.25,0,7.25
1996-03-08,7.25,7.25,7.25,7.25,0,7.25
1996-03-11,7.25,7.25,7.25,7.25,0,7.25
1996-03-12,7.25,7.25,7.25,7.25,0,7.25
1996-03-13,8.0,8.0,8.0,8.0,1000,8.0
1996-03-14,8.0,8.0,8.0,8.0,0,8.0
1996-03-15,8.0,8.0,8.0,8.0,0,8.0
1996-03-18,8.0,8.0,8.0,8.0,0,8.0
1996-03-19,8.0,8.0,8.0,8.0,0,8.0
1996-03-20,8.38,8.38,8.38,8.38,200,8.38
1996-03-21,8.38,8.38,8.38,8.38,0,8.38
1996-03-22,8.38,8.38,8.38,8.38,0,8.38
1996-03-25,8.38,8.38,8.38,8.38,0,8.38
1996-03-26,8.38,8.38,8.38,8.38,0,8.38
1996-03-27,8.38,8.38,8.38,8.38,0,8.38
1996-03-28,8.38,8.38,8.38,8.38,0,8.38
1996-03-29,8.38,8.38,8.38,8.38,0,8.38
1996-04-01,8.38,8.38,8.38,8.38,0,8.38
1996-04-02,8.38,8.38,8.38,8.38,0,8.38
1996-04-03,8.38,8.38,8.38,8.38,0,8.38
1996-04-04,8.38,8.38,8.38,8.38,0,8.38
1996-04-08,8.38,8.38,8.38,8.38,0,8.38
1996-04-09,8.38,8.38,8.38,8.38,0,8.38
1996-04-10,8.38,8.38,8.38,8.38,0,8.38
1996-04-11,8.38,8.38,8.38,8.38,0,8.38
1996-04-12,8.38,8.38,8.38,8.38,0,8.38
1996-04-15,8.38,8.38,8.38,8.38,0,8.38
1996-04-16,8.38,8.38,8.38,8.38,0,8.38
1996-04-17,7.5,8.75,7.5,8.0,2100,8.0
1996-04-18,8.0,8.0,8.0,8.0,0,8.0
1996-04-19,8.0,8.0,8.0,8.0,0,8.0
1996-04-22,8.0,8.0,8.0,8.0,0,8.0
1996-04-23,8.0,8.0,8.0,8.0,0,8.0
1996-04-24,8.0,8.0,8.0,8.0,0,8.0
1996-04-25,8.0,8.0,8.0,8.0,0,8.0
1996-04-26,8.0,8.0,8.0,8.0,0,8.0
1996-04-29,8.0,8.0,8.0,8.0,0,8.0
1996-04-30,9.0,9.0,9.0,9.0,4000,9.0
1996-05-01,9.12,9.12,9.12,9.12,1300,9.12
1996-05-02,9.12,9.12,9.12,9.12,0,9.12
1996-05-03,9.75,9.75,9.75,9.75,2800,9.75
1996-05-06,9.75,9.75,9.75,9.75,0,9.75
1996-05-07,8.5,9.75,8.5,9.75,1800,9.75
1996-05-08,10.0,10.0,10.0,10.0,500,10.0
1996-05-09,10.0,10.0,10.0,10.0,0,10.0
1996-05-10,9.0,9.0,9.0,9.0,100,9.0
1996-05-13,9.0,9.0,9.0,9.0,500,9.0
1996-05-14,9.0,9.0,9.0,9.0,0,9.0
1996-05-15,9.0,9.0,9.0,9.0,0,9.0
1996-05-16,9.0,9.0,9.0,9.0,0,9.0
1996-05-17,10.0,10.0,10.0,10.0,1400,10.0
1996-05-20,10.0,10.0,10.0,10.0,0,10.0
1996-05-21,10.0,10.0,10.0,10.0,0,10.0
1996-05-22,10.0,10.0,10.0,10.0,0,10.0
