Date,Open,High,Low,Close,Volume,Adj Close
1999-05-03,2.87,2.87,2.87,2.87,0,8.62
1999-05-04,2.87,2.87,2.87,2.87,0,8.62
1999-05-05,2.87,2.87,2.84,2.84,800,8.53
1999-05-06,2.84,2.84,2.84,2.84,0,8.53
1999-05-07,2.84,2.84,2.84,2.84,0,8.53
1999-05-10,2.75,2.75,2.75,2.75,3000,8.25
1999-05-11,2.75,2.75,2.75,2.75,3700,8.25
1999-05-12,2.75,2.75,2.69,2.75,1200,8.25
1999-05-13,2.75,2.75,2.75,2.75,4900,8.25
1999-05-14,2.87,2.87,2.84,2.84,2000,8.53
1999-05-17,2.87,2.87,2.84,2.84,2500,8.53
1999-05-18,2.84,2.84,2.84,2.84,0,8.53
1999-05-19,2.75,2.75,2.75,2.75,1500,8.25
1999-05-20,2.75,2.87,2.75,2.87,1600,8.62
1999-05-21,3.0,3.0,3.0,3.0,3300,9.0
1999-05-24,3.37,4.0,3.37,4.0,3800,12.0
1999-05-25,3.5,3.62,3.44,3.62,8400,10.87
1999-05-26,3.75,3.75,3.75,3.75,500,11.25
1999-05-27,3.75,4.06,3.75,4.0,10300,12.0
1999-05-28,3.62,3.87,3.62,3.87,1200,11.62
1999-06-01,3.87,3.87,3.75,3.75,1000,11.25
1999-06-02,3.75,3.75,3.75,3.75,0,11.25
1999-06-03,3.69,3.69,3.69,3.69,1200,11.06
1999-06-04,3.56,3.56,3.56,3.56,0,10.69
1999-06-07,3.69,3.87,3.69,3.69,1000,11.06
1999-06-08,3.69,3.69,3.69,3.69,300,11.06
1999-06-09,3.75,3.75,3.75,3.75,400,11.25
1999-06-10,3.56,3.62,3.5,3.5,2600,10.5
1999-06-11,3.5,3.5,3.5,3.5,1500,10.5
1999-06-14,3.62,3.62,3.5,3.5,300,10.5
1999-06-15,3.5,3.5,3.5,3.5,0,10.5
1999-06-16,3.5,3.5,3.5,3.5,0,10.5
1999-06-17,3.5,3.5,3.37,3.5,900,10.5
1999-06-18,3.5,3.5,3.37,3.37,0,10.12
1999-06-21,3.5,3.5,3.5,3.5,1600,10.5
1999-06-22,3.5,3.62,3.5,3.62,4600,10.87
1999-06-23,3.5,3.5,3.5,3.5,0,10.5
1999-06-24,3.5,3.62,3.5,3.5,3900,10.5
1999-06-25,3.5,3.5,3.5,3.5,600,10.5
1999-06-28,3.5,3.5,3.5,3.5,700,10.5
1999-06-29,3.56,3.56,3.44,3.56,4200,10.69
1999-06-30,3.56,3.56,3.5,3.56,6600,10.69
