Date,Open,High,Low,Close,Volume,Adj Close
1995-08-18,1.28,1.44,1.28,1.41,132800,1.41
1995-08-21,1.44,1.44,1.34,1.44,34300,1.44
1995-08-22,1.38,1.44,1.28,1.28,62000,1.28
1995-08-23,1.47,1.47,1.28,1.31,30100,1.31
1995-08-24,1.31,1.47,1.28,1.41,74100,1.41
1995-08-25,1.41,1.47,1.41,1.41,93100,1.41
1995-08-28,1.41,1.47,1.41,1.41,79500,1.41
1995-08-29,1.41,1.47,1.38,1.44,37000,1.44
1995-08-30,1.44,1.44,1.38,1.38,50800,1.38
1995-08-31,1.34,1.5,1.34,1.48,324900,1.48
1995-09-01,1.53,1.62,1.47,1.5,1025100,1.5
1995-09-05,1.59,1.62,1.47,1.47,94200,1.47
1995-09-06,1.47,1.53,1.44,1.5,138900,1.5
1995-09-07,1.53,1.56,1.44,1.5,152100,1.5
1995-09-08,1.53,1.53,1.44,1.47,129600,1.47
1995-09-11,1.44,1.5,1.41,1.41,67800,1.41
1995-09-12,1.41,1.47,1.31,1.31,156600,1.31
1995-09-13,1.28,1.47,1.28,1.38,43200,1.38
1995-09-14,1.5,1.59,1.47,1.47,489000,1.47
1995-09-15,1.53,1.53,1.41,1.47,135400,1.47
1995-09-18,1.5,1.5,1.41,1.44,50400,1.44
1995-09-19,1.41,1.5,1.41,1.5,36300,1.5
1995-09-20,1.5,1.5,1.44,1.44,120300,1.44
1995-09-21,1.5,1.5,1.41,1.41,117300,1.41
1995-09-22,1.41,1.47,1.41,1.41,18100,1.41
1995-09-25,1.41,1.47,1.41,1.41,105600,1.41
1995-09-26,1.47,1.5,1.38,1.41,124300,1.41
1995-09-27,1.41,1.44,1.28,1.28,72900,1.28
1995-09-28,1.31,1.38,1.25,1.25,261100,1.25
1995-09-29,1.31,1.31,1.25,1.28,52100,1.28
1995-10-02,1.28,1.31,1.19,1.22,45300,1.22
1995-10-03,1.19,1.25,1.16,1.25,117800,1.25
1995-10-04,1.25,1.28,1.12,1.25,78700,1.25
1995-10-05,1.19,1.25,1.09,1.16,204600,1.16
1995-10-06,1.25,1.25,1.16,1.16,16500,1.16
1995-10-09,1.16,1.22,1.16,1.16,83100,1.16
1995-10-10,1.19,1.19,1.06,1.19,134300,1.19
1995-10-11,1.19,1.31,1.19,1.22,49900,1.22
1995-10-12,1.31,1.41,1.22,1.38,242800,1.38
1995-10-13,1.41,1.41,1.28,1.38,45100,1.38
1995-10-16,1.28,1.38,1.28,1.31,19400,1.31
1995-10-17,1.38,1.38,1.31,1.38,39800,1.38
1995-10-18,1.34,1.41,1.34,1.41,35200,1.41
1995-10-19,1.41,1.41,1.34,1.34,31700,1.34
1995-10-20,1.34,1.41,1.28,1.31,27200,1.31
1995-10-23,1.28,1.41,1.28,1.31,91700,1.31
1995-10-24,1.31,1.38,1.31,1.31,24000,1.31
1995-10-25,1.31,1.34,1.25,1.25,65600,1.25
1995-10-26,1.22,1.25,1.16,1.16,45300,1.16
1995-10-27,1.12,1.25,1.12,1.19,78200,1.19
1995-10-30,1.22,1.28,1.22,1.25,43100,1.25
1995-10-31,1.25,1.25,1.16,1.19,52800,1.19
1995-11-01,1.16,1.22,1.16,1.16,108500,1.16
1995-11-02,1.22,1.22,1.09,1.12,79500,1.12
1995-11-03,1.09,1.12,0.91,0.91,146200,0.91
1995-11-06,1.0,1.0,0.72,0.78,485700,0.78
1995-11-07,0.75,1.0,0.75,0.91,277600,0.91
1995-11-08,0.88,0.94,0.84,0.84,39000,0.84
1995-11-09,0.91,1.25,0.91,1.25,196300,1.25
1995-11-10,1.19,1.28,1.12,1.16,165900,1.16
1995-11-13,1.22,1.41,1.16,1.34,122100,1.34
1995-11-14,1.44,1.5,1.28,1.28,316100,1.28
1995-11-15,1.34,1.34,1.0,1.09,134300,1.09
1995-11-16,1.12,1.19,1.03,1.19,18200,1.19
1995-11-17,1.22,1.28,1.19,1.19,46700,1.19
1995-11-20,1.28,1.28,1.22,1.28,57600,1.28
1995-11-21,1.28,1.34,1.25,1.25,130200,1.25
1995-11-22,1.31,1.31,1.19,1.22,60600,1.22
1995-11-24,1.22,1.28,1.22,1.28,38500,1.28
1995-11-27,1.28,1.28,1.22,1.28,30100,1.28
1995-11-28,1.22,1.34,1.2,1.28,184700,1.28
1995-11-29,1.22,1.34,1.2,1.22,51100,1.22
1995-11-30,1.31,1.31,1.19,1.19,66200,1.19
1995-12-01,1.25,1.25,1.16,1.16,73900,1.16
1995-12-04,1.19,1.19,1.12,1.19,36900,1.19
1995-12-05,1.19,1.19,1.09,1.09,50400,1.09
1995-12-06,1.16,1.16,1.0,1.03,57900,1.03
