Date,Open,High,Low,Close,Volume,Adj Close
2006-11-15,1.0,1.0,0.85,1.0,83700,1.0
2006-11-16,1.04,1.1,1.0,1.0,41100,1.0
2006-11-17,1.0,1.25,1.0,1.15,89700,1.15
2006-11-20,1.4,1.4,1.08,1.15,65400,1.15
2006-11-21,1.15,1.2,1.0,1.0,78400,1.0
2006-11-22,1.0,1.0,1.0,1.0,4800,1.0
2006-11-24,1.0,1.0,0.95,0.95,26000,0.95
2006-11-27,0.95,1.0,0.85,0.85,77800,0.85
2006-11-28,0.85,1.01,0.51,0.65,25300,0.65
2006-11-29,0.85,1.01,0.85,1.01,500,1.01
2006-11-30,1.01,1.01,1.01,1.01,0,1.01
2006-12-01,0.9,0.9,0.52,0.52,2300,0.52
2006-12-04,0.6,0.75,0.52,0.75,4100,0.75
2006-12-05,0.75,0.75,0.4,0.4,45100,0.4
2006-12-06,0.6,0.6,0.6,0.6,5000,0.6
2006-12-07,0.6,0.6,0.4,0.6,9700,0.6
2006-12-08,0.6,0.75,0.4,0.75,15100,0.75
2006-12-11,0.75,0.75,0.75,0.75,500,0.75
2006-12-12,0.55,0.65,0.5,0.5,47000,0.5
2006-12-13,0.47,0.6,0.45,0.6,37000,0.6
2006-12-14,0.6,0.6,0.6,0.6,0,0.6
2006-12-15,0.48,0.5,0.45,0.45,47500,0.45
2006-12-18,0.44,0.44,0.4,0.4,5400,0.4
2006-12-19,0.44,0.44,0.43,0.43,8600,0.43
2006-12-20,0.43,0.43,0.43,0.43,0,0.43
2006-12-21,0.4,0.42,0.4,0.4,6200,0.4
2006-12-22,0.4,0.4,0.4,0.4,0,0.4
2006-12-26,0.4,0.4,0.4,0.4,0,0.4
2006-12-27,0.4,0.4,0.35,0.4,79500,0.4
2006-12-28,0.33,0.33,0.33,0.33,1000,0.33
2006-12-29,0.33,0.4,0.33,0.4,23300,0.4
2007-01-03,0.35,0.4,0.35,0.35,61000,0.35
2007-01-04,0.36,0.36,0.36,0.36,10000,0.36
2007-01-05,0.36,0.36,0.36,0.36,10500,0.36
2007-01-08,0.36,0.38,0.34,0.34,55300,0.34
2007-01-09,0.34,0.34,0.23,0.25,64300,0.25
2007-01-10,0.27,0.27,0.27,0.27,1000,0.27
2007-01-11,0.25,0.25,0.25,0.25,9500,0.25
2007-01-12,0.23,0.23,0.23,0.23,500,0.23
2007-01-16,0.23,0.23,0.23,0.23,0,0.23
2007-01-17,0.24,0.3,0.24,0.3,61000,0.3
2007-01-18,0.23,0.29,0.23,0.27,34300,0.27
2007-01-19,0.27,0.27,0.27,0.27,0,0.27
2007-01-22,0.29,0.29,0.29,0.29,1000,0.29
2007-01-23,0.25,0.29,0.25,0.29,7000,0.29
2007-01-24,0.28,0.28,0.28,0.28,1000,0.28
2007-01-25,0.25,0.25,0.24,0.25,33000,0.25
2007-01-26,0.25,0.25,0.25,0.25,2500,0.25
2007-01-29,0.23,0.25,0.23,0.25,3600,0.25
2007-01-30,0.23,0.25,0.23,0.25,21600,0.25
2007-01-31,0.25,0.27,0.23,0.23,52700,0.23
2007-02-01,0.25,0.25,0.25,0.25,33000,0.25
2007-02-02,0.25,0.25,0.25,0.25,0,0.25
2007-02-05,0.22,0.25,0.22,0.25,3700,0.25
2007-02-06,0.25,0.25,0.25,0.25,0,0.25
2007-02-07,0.25,0.26,0.25,0.26,77100,0.26
2007-02-08,0.26,0.26,0.24,0.24,25000,0.24
2007-02-09,0.2,0.27,0.2,0.27,4300,0.27
2007-02-12,0.27,0.27,0.27,0.27,0,0.27
2007-02-13,0.2,0.27,0.2,0.27,6000,0.27
2007-02-14,0.23,0.23,0.23,0.23,500,0.23
2007-02-15,0.27,0.27,0.27,0.27,1700,0.27
2007-02-16,0.27,0.27,0.27,0.27,1500,0.27
2007-02-20,0.27,0.27,0.27,0.27,8000,0.27
2007-02-21,0.24,0.24,0.24,0.24,5000,0.24
2007-02-22,0.23,0.23,0.23,0.23,5000,0.23
2007-02-23,0.23,0.23,0.23,0.23,0,0.23
2007-02-26,0.25,0.25,0.25,0.25,1200,0.25
2007-02-27,0.2,0.2,0.2,0.2,10200,0.2
2007-02-28,0.2,0.25,0.2,0.25,14500,0.25
2007-03-01,0.2,0.2,0.2,0.2,1800,0.2
2007-03-02,0.2,0.24,0.2,0.22,19800,0.22
2007-03-05,0.22,0.22,0.22,0.22,0,0.22
2007-03-06,0.23,0.26,0.23,0.25,40500,0.25
2007-03-07,0.2,0.27,0.2,0.2,88700,0.2
2007-03-08,0.22,0.22,0.2,0.22,24000,0.22
2007-03-09,0.25,0.25,0.25,0.25,1000,0.25
2007-03-12,0.25,0.25,0.25,0.25,0,0.25
2007-03-13,0.23,0.24,0.23,0.24,30000,0.24
2007-03-14,0.24,0.24,0.24,0.24,0,0.24
2007-03-15,0.23,0.24,0.23,0.24,22000,0.24
2007-03-16,0.24,0.24,0.24,0.24,0,0.24
2007-03-19,0.23,0.24,0.23,0.23,95500,0.23
2007-03-20,0.24,0.24,0.23,0.23,52000,0.23
2007-03-21,0.23,0.23,0.23,0.23,0,0.23
2007-03-22,0.24,0.24,0.24,0.24,2500,0.24
2007-03-23,0.23,0.23,0.23,0.23,65000,0.23
2007-03-26,0.23,0.23,0.23,0.23,0,0.23
2007-03-27,0.24,0.24,0.24,0.24,29900,0.24
2007-03-28,0.25,0.25,0.25,0.25,20000,0.25
2007-03-29,0.25,0.25,0.25,0.25,0,0.25
2007-03-30,0.25,0.25,0.25,0.25,0,0.25
2007-04-02,0.25,0.25,0.25,0.25,20000,0.25
2007-04-03,0.25,0.25,0.25,0.25,10000,0.25
2007-04-04,0.25,0.25,0.25,0.25,1000,0.25
2007-04-05,0.25,0.25,0.25,0.25,1300,0.25
2007-04-09,0.25,0.27,0.23,0.26,119000,0.26
2007-04-10,0.27,0.27,0.27,0.27,10000,0.27
2007-04-11,0.27,0.27,0.27,0.27,5800,0.27
2007-04-12,0.22,0.23,0.22,0.23,42000,0.23
2007-04-13,0.22,0.22,0.22,0.22,10200,0.22
2007-04-16,0.22,0.22,0.22,0.22,0,0.22
2007-04-17,0.25,0.25,0.25,0.25,3600,0.25
2007-04-18,0.25,0.25,0.25,0.25,0,0.25
2007-04-19,0.25,0.25,0.25,0.25,2300,0.25
2007-04-20,0.25,0.25,0.25,0.25,2000,0.25
2007-04-23,0.22,0.22,0.22,0.22,8800,0.22
2007-04-24,0.22,0.22,0.22,0.22,10000,0.22
2007-04-25,0.2,0.2,0.2,0.2,2000,0.2
2007-04-26,0.22,0.22,0.22,0.22,9000,0.22
2007-04-27,0.22,0.22,0.22,0.22,3000,0.22
2007-04-30,0.23,0.23,0.23,0.23,5000,0.23
2007-05-01,0.23,0.23,0.23,0.23,0,0.23
2007-05-02,0.23,0.23,0.23,0.23,0,0.23
2007-05-03,0.2,0.2,0.2,0.2,25400,0.2
2007-05-04,0.2,0.2,0.2,0.2,0,0.2
2007-05-07,0.19,0.19,0.18,0.18,26600,0.18
2007-05-08,0.17,0.17,0.17,0.17,1000,0.17
2007-05-09,0.18,0.18,0.17,0.17,53000,0.17
2007-05-10,0.17,0.17,0.17,0.17,7000,0.17
2007-05-11,0.17,0.17,0.17,0.17,0,0.17
2007-05-14,0.18,0.18,0.17,0.17,19800,0.17
2007-05-15,0.18,0.18,0.18,0.18,18500,0.18
2007-05-16,0.18,0.18,0.18,0.18,0,0.18
2007-05-17,0.2,0.2,0.19,0.2,46200,0.2
2007-05-18,0.2,0.2,0.2,0.2,15000,0.2
2007-05-21,0.2,0.2,0.2,0.2,0,0.2
2007-05-22,0.2,0.2,0.2,0.2,0,0.2
2007-05-23,0.2,0.2,0.2,0.2,0,0.2
2007-05-24,0.19,0.19,0.19,0.19,10000,0.19
2007-05-25,0.19,0.2,0.19,0.19,12000,0.19
2007-05-29,0.2,0.2,0.2,0.2,6500,0.2
2007-05-30,0.15,0.19,0.15,0.19,6500,0.19
2007-05-31,0.19,0.25,0.19,0.25,34000,0.25
2007-06-01,0.25,0.25,0.25,0.25,0,0.25
2007-06-04,0.25,0.25,0.25,0.25,0,0.25
2007-06-05,0.25,0.25,0.25,0.25,0,0.25
2007-06-06,0.25,0.25,0.25,0.25,0,0.25
2007-06-07,0.2,0.26,0.2,0.2,28300,0.2
2007-06-08,0.2,0.2,0.2,0.2,0,0.2
