Date,Open,High,Low,Close,Volume,Adj Close
2008-04-30,20.7,20.89,20.3,20.5,46800,4.96
2008-05-01,20.55,20.9,20.0,20.3,146300,4.91
2008-05-02,20.65,21.0,20.36,20.67,61800,5.0
2008-05-05,20.75,20.95,20.6,20.68,107200,5.0
2008-05-06,20.72,20.85,20.45,20.7,115200,5.0
2008-05-07,20.7,20.86,20.45,20.7,97100,5.0
2008-05-08,20.65,20.75,20.45,20.5,82800,4.96
2008-05-09,20.49,20.99,20.33,20.94,124200,5.06
2008-05-12,20.95,21.0,20.58,20.93,187300,5.06
2008-05-13,23.1,23.1,21.42,22.64,645100,5.47
2008-05-14,22.99,23.47,22.66,23.03,416400,5.57
2008-05-15,23.5,24.0,23.27,24.0,417200,5.8
2008-05-16,23.28,24.0,23.21,24.0,247000,6.06
2008-05-19,25.3,25.3,23.5,23.55,194300,5.95
2008-05-20,23.57,24.23,23.0,23.65,193500,5.98
2008-05-21,23.8,24.25,23.53,23.75,277700,6.0
2008-05-22,23.9,24.0,22.96,23.0,266300,5.81
2008-05-23,22.95,24.0,22.6,24.0,244600,6.06
2008-05-27,24.25,24.25,23.07,23.24,136900,5.87
2008-05-28,23.09,23.23,22.64,23.01,126700,5.81
2008-05-29,23.26,23.27,22.8,22.91,91400,5.79
2008-05-30,23.3,23.3,22.71,22.9,44900,5.79
2008-06-02,22.85,23.24,22.85,22.95,77800,5.8
2008-06-03,23.2,23.2,22.75,22.79,77300,5.76
2008-06-04,22.91,22.97,22.0,22.4,137500,5.66
2008-06-05,22.31,23.19,22.31,22.78,158800,5.76
2008-06-06,22.68,23.18,22.68,23.1,189500,5.84
2008-06-09,23.1,23.37,22.75,23.2,122600,5.86
2008-06-10,23.53,23.59,22.98,23.2,141600,5.86
2008-06-11,23.34,23.79,23.0,23.27,140200,5.88
2008-06-12,23.66,23.66,23.0,23.27,72000,5.88
2008-06-13,23.25,23.47,23.02,23.08,58900,5.83
2008-06-16,23.46,23.75,23.35,23.55,96300,5.95
2008-06-17,23.75,24.21,23.61,23.81,161000,6.02
2008-06-18,24.0,24.0,23.9,24.0,130100,6.06
2008-06-19,24.0,24.0,23.69,23.84,70000,6.02
2008-06-20,23.89,23.95,23.75,23.86,66100,6.03
2008-06-23,23.69,24.0,23.69,23.95,83900,6.05
