Date,Open,High,Low,Close,Volume,Adj Close
1997-06-23,4640.0,4640.0,4640.0,4640.0,0,1856000.0
1997-06-25,4496.0,4496.0,4496.0,4496.0,0,1798400.0
1997-07-01,4240.0,4240.0,4240.0,4240.0,0,1696000.0
1997-07-04,4240.0,4240.0,4240.0,4240.0,0,1696000.0
1997-07-15,4032.0,4032.0,4032.0,4032.0,0,1612800.0
1997-07-22,4032.0,4032.0,4032.0,4032.0,0,1612800.0
1997-07-25,3696.0,3696.0,3696.0,3696.0,0,1478400.0
1997-07-28,3760.0,3760.0,3760.0,3760.0,0,1504000.0
1997-07-29,3888.0,3888.0,3888.0,3888.0,0,1555200.0
1997-08-04,3488.0,3488.0,3488.0,3488.0,0,1395200.0
1997-08-11,3520.0,3520.0,3520.0,3520.0,0,1408000.0
1997-09-01,3520.0,3520.0,3520.0,3520.0,0,1408000.0
1997-09-09,3520.0,3520.0,3520.0,3520.0,0,1408000.0
1997-09-19,3440.0,3440.0,3440.0,3440.0,0,1376000.0
1997-09-23,3520.0,3520.0,3520.0,3520.0,0,1408000.0
1997-09-24,3160.0,3160.0,3160.0,3160.0,0,1264000.0
1997-09-25,3112.0,3112.0,3112.0,3112.0,0,1244800.0
1997-10-01,3376.0,3376.0,3376.0,3376.0,0,1350400.0
1997-10-03,3200.0,3200.0,3200.0,3200.0,0,1280000.0
1997-10-06,3280.0,3280.0,3280.0,3280.0,0,1312000.0
1997-10-08,3376.0,3376.0,3376.0,3376.0,0,1350400.0
1997-10-09,3344.0,3344.0,3344.0,3344.0,0,1337600.0
1997-10-13,3400.0,3400.0,3400.0,3400.0,0,1360000.0
1997-10-15,3200.0,3200.0,3200.0,3200.0,0,1280000.0
1997-10-17,3488.0,3488.0,3488.0,3488.0,0,1395200.0
1997-10-27,2640.0,2640.0,2640.0,2640.0,0,1056000.0
1997-11-10,2688.0,2688.0,2688.0,2688.0,0,1075200.0
1997-11-20,2112.0,2112.0,2112.0,2112.0,0,844800.0
1997-11-21,2112.0,2112.0,2112.0,2112.0,0,844800.0
1997-11-25,1936.0,1936.0,1936.0,1936.0,0,774400.0
1997-11-27,1936.0,1936.0,1936.0,1936.0,0,774400.0
1997-12-02,1600.0,1600.0,1600.0,1600.0,0,640000.0
1997-12-18,1432.0,1432.0,1432.0,1432.0,0,572800.0
1997-12-29,1424.0,1424.0,1424.0,1424.0,0,569600.0
1997-12-30,1808.0,1808.0,1808.0,1808.0,0,723200.0
1998-01-08,1528.0,1528.0,1528.0,1528.0,0,611200.0
1998-01-14,1360.0,1360.0,1360.0,1360.0,0,544000.0
1998-01-15,1488.0,1488.0,1488.0,1488.0,0,595200.0
