Date,Open,High,Low,Close,Volume,Adj Close
2002-06-11,0.75,0.75,0.6,0.75,30500,0.75
2002-06-12,0.75,0.75,0.75,0.75,0,0.75
2002-06-13,0.75,0.75,0.75,0.75,0,0.75
2002-06-14,0.63,0.75,0.6,0.75,21400,0.75
2002-06-17,0.75,0.75,0.75,0.75,0,0.75
2002-06-18,0.51,0.51,0.3,0.3,53400,0.3
2002-06-19,0.5,0.75,0.35,0.55,69500,0.55
2002-06-20,0.52,0.55,0.52,0.52,20200,0.52
2002-06-21,0.52,0.52,0.52,0.52,8900,0.52
2002-06-24,0.52,0.55,0.52,0.55,12500,0.55
2002-06-25,0.52,0.58,0.52,0.58,6800,0.58
2002-06-26,0.55,0.55,0.51,0.55,25000,0.55
2002-06-27,0.4,0.75,0.4,0.6,9900,0.6
2002-06-28,0.6,0.6,0.6,0.6,0,0.6
2002-07-01,0.75,0.75,0.21,0.21,11100,0.21
2002-07-02,0.48,0.48,0.18,0.2,2100,0.2
2002-07-03,0.2,0.2,0.2,0.2,0,0.2
2002-07-05,0.2,0.2,0.2,0.2,0,0.2
2002-07-08,0.2,0.2,0.2,0.2,0,0.2
2002-07-09,0.2,0.2,0.2,0.2,0,0.2
2002-07-10,0.2,0.2,0.2,0.2,0,0.2
2002-07-11,0.2,0.2,0.2,0.2,0,0.2
2002-07-12,0.4,0.4,0.4,0.4,900,0.4
2002-07-15,0.2,0.2,0.2,0.2,5000,0.2
2002-07-16,0.18,0.18,0.15,0.15,14000,0.15
2002-07-17,0.3,0.3,0.15,0.25,19200,0.25
2002-07-18,0.25,0.25,0.25,0.25,0,0.25
2002-07-19,0.25,0.25,0.25,0.25,9000,0.25
2002-07-22,0.15,0.3,0.15,0.3,29600,0.3
2002-07-23,0.3,0.3,0.3,0.3,300,0.3
2002-07-24,0.3,0.3,0.17,0.17,2500,0.17
2002-07-25,0.3,0.38,0.25,0.38,10300,0.38
2002-07-26,0.38,0.38,0.3,0.3,1100,0.3
2002-07-29,0.38,0.38,0.3,0.38,900,0.38
2002-07-30,0.36,0.36,0.23,0.36,33500,0.36
2002-07-31,0.38,0.38,0.38,0.38,100,0.38
2002-08-01,0.26,0.38,0.26,0.31,8300,0.31
2002-08-02,0.31,0.31,0.31,0.31,0,0.31
2002-08-05,0.37,0.37,0.15,0.19,73800,0.19
2002-08-06,0.15,0.15,0.12,0.14,28400,0.14
