Date,Open,High,Low,Close,Volume,Adj Close,Symbol,Average Price,Adj Multiple,Adj Average Price,Adj Open
1993-01-29,43.97,43.97,43.75,43.94,1003200,29.28,SPY,43.9075,1.5006830601092895,29.258343195266274,29.299990896677286
1993-02-01,43.97,44.25,43.97,44.25,480500,29.49,SPY,44.11,1.5005086469989828,29.396698305084744,29.30339661016949
1993-02-02,44.22,44.38,44.12,44.34,201300,29.55,SPY,44.265,1.5005076142131981,29.500016914749658,29.470027063599456
1993-02-03,44.41,44.84,44.38,44.81,529400,29.86,SPY,44.61,1.5006697923643673,29.726726177192585,29.593452354385175
1993-02-04,44.97,45.09,44.47,45.0,531500,29.99,SPY,44.8825,1.5005001667222408,29.911692777777777,29.970006666666663
1993-02-05,44.97,45.06,44.72,44.97,492100,29.97,SPY,44.93,1.5005005005005005,29.9433422281521,29.97
1993-02-08,44.97,45.12,44.91,44.97,596100,29.97,SPY,44.9925,1.5005005005005005,29.98499499666444,29.97
1993-02-09,44.81,44.81,44.56,44.66,122100,29.76,SPY,44.71,1.5006720430107525,29.793318405732204,29.8599552171966
1993-02-10,44.66,44.75,44.53,44.72,379600,29.8,SPY,44.665,1.5006711409395972,29.763349731663688,29.760017889087656
1993-02-11,44.78,45.12,44.78,44.94,19500,29.95,SPY,44.905,1.5005008347245408,29.926674454828664,29.843368936359592
1993-02-12,44.88,44.88,44.59,44.59,42500,29.72,SPY,44.73500000000001,1.5003364737550473,29.816644987665395,29.91328997533079
1993-02-16,44.47,44.47,43.41,43.47,374800,28.97,SPY,43.955,1.5005177770107008,29.293221762134802,29.63643662295836
1993-02-17,43.47,43.53,43.28,43.44,210900,28.95,SPY,43.43,1.5005181347150258,28.943335635359116,28.969993093922653
1993-02-18,43.94,43.94,42.81,43.41,378100,28.93,SPY,43.525,1.5005184929139301,29.006640175074867,29.28321124164939
1993-02-19,43.41,43.56,43.34,43.56,34900,29.03,SPY,43.4675,1.5005167068549776,28.96835456841139,28.930034435261707
1993-02-22,43.69,43.78,43.56,43.72,513600,29.13,SPY,43.6875,1.500858221764504,29.108345722781337,29.11001143641354
1993-02-23,43.84,43.88,43.47,43.69,373700,29.11,SPY,43.72,1.5008588114050154,29.12998855573358,29.20994277866789
1993-02-24,43.72,44.25,43.72,44.25,26300,29.49,SPY,43.985,1.5005086469989828,29.31339322033898,29.136786440677962
1993-02-25,44.22,44.38,44.12,44.34,44500,29.55,SPY,44.265,1.5005076142131981,29.500016914749658,29.470027063599456
1993-02-26,44.44,44.44,44.19,44.41,66200,29.59,SPY,44.37,1.500844880027036,29.563348344967352,29.60998874127449
1993-03-01,44.56,44.56,44.22,44.28,66500,29.51,SPY,44.405,1.5005083022704169,29.593305103884372,29.696603432700993
1993-03-02,44.31,44.94,44.25,44.94,182400,29.95,SPY,44.61,1.5005008347245408,29.730073431241657,29.530140186915894
1993-03-03,45.0,45.16,44.94,45.12,280100,30.07,SPY,45.055,1.5004988360492184,30.026681072695037,29.990026595744684
1993-03-04,45.19,45.19,44.88,44.88,89500,29.91,SPY,45.035,1.5005015045135408,30.01329879679144,30.11659759358288
1993-03-05,44.94,45.12,44.72,44.75,40000,29.82,SPY,44.8825,1.500670690811536,29.908293854748603,29.946610055865918
1993-03-08,44.84,45.75,44.84,45.75,50800,30.49,SPY,45.295,1.5004919645785504,30.18676612021858,29.88353224043716
1993-03-09,45.66,45.69,45.5,45.59,169300,30.38,SPY,45.61,1.500658327847268,30.393327484097387,30.42664619434086
1993-03-10,45.59,45.69,45.41,45.69,194400,30.45,SPY,45.595,1.5004926108374383,30.386687458962573,30.38335521996061
1993-03-11,45.72,45.84,45.5,45.56,70900,30.36,SPY,45.655,1.500658761528327,30.42330553116769,30.466619841966633
1993-03-12,45.19,45.22,44.81,45.09,643600,30.05,SPY,45.0775,1.5004991680532447,30.041669438899977,30.116644488800173
1993-03-15,45.06,45.31,45.06,45.31,310800,30.2,SPY,45.185,1.5003311258278147,30.116685058485984,30.03337011697197
1993-03-16,45.31,45.44,45.31,45.31,30800,30.2,SPY,45.3425,1.5003311258278147,30.221661884793644,30.2
1993-03-17,45.25,45.25,44.97,45.03,21800,30.01,SPY,45.125,1.5004998333888704,30.07331223628692,30.156617810348656
